ideaA,ideaB,aiRelatedness,aiGenerality,humanRelatedness,humanGenerality
transcendental arguments,cognitive science,2,3,0,-1
folk psychology as mental simulation,cognitive science,3,1,4,0
reductive materialism,cognitive science,3,3,4,3
nativism,cognitive science,3,1,4,0
semantic holism,cognitive science,3,3,3,0
meaning holism,cognitive science,3,2,2,1
church-turing thesis,cognitive science,1,0,3,3
intertheory relations in physics,cognitive science,2,3,0,-1
thermodynamic asymmetry in time,statistical mechanics and thermodynamics,3,3,4,0
symmetry and symmetry breaking,symmetry and invariance,3,2,4,2
molecular biology,philosophy of biology,2,3,4,0
molecular biology,philosophy of biology,3,3,4,0
conservation biology,philosophy of biology,3,3,4,0
teleological theories of mental content,philosophy of biology,2,-1,3,0
scientific explanation,philosophy of biology,3,3,2,3
creationism,philosophy of biology,3,3,3,3
gradualism,philosophy of biology,3,3,4,0
animal behavior,philosophy of biology,3,3,3,0
biological altruism,philosophy of biology,3,3,4,0
idiolects,philosophy of language,3,1,2,0
logic and language,philosophy of language,3,3,4,3
classical logic,philosophy of language,3,3,2,3
language of thought hypothesis,philosophy of language,3,2,3,3
first-order model theory,philosophy of language,3,3,2,3
logical form,philosophy of language,3,1,4,0
consequence relations and algebraic logic,philosophy of language,3,3,1,3
model theory,philosophy of language,3,0,3,3
semantics,philosophy of language,3,1,4,0
compositionality,philosophy of language,3,1,4,0
plural quantification,philosophy of language,3,1,3,0
language learning,philosophy of language,3,3,3,0
modal logic,philosophy of language,3,3,2,3
speaker meaning,philosophy of language,3,1,4,1
other minds,philosophy of mind,3,3,4,3
wittgenstein's aesthetics,parts of speech,1,3,0,-1
existence,parts of speech,1,-1,0,-1
medieval theories of singular terms,parts of speech,2,3,2,3
implicature,pragmatics,3,1,4,0
logic,artificial intelligence,3,3,4,1
chinese room argument,artificial intelligence,3,3,4,0
probabilistic causation,causation,3,1,4,0
computer ethics,ethics,3,1,4,0
philosophy of physics,philosophy of mind,3,0,3,-1
panpsychism,metaphysics of mind,3,2,3,0
malebranche's theory of ideas and vision in god,philosophy of mind,3,3,2,-1
kant's view of the mind and consciousness of self,philosophy of mind,3,3,3,-1
medieval problem of universals,philosophy of mind,2,3,2,-1
other minds,philosophy of mind,3,3,4,-1
consciousness and intentionality,philosophy of mind,3,2,4,-1
chinese room argument,philosophy of mind,3,3,3,-1
18th century british aesthetics,philosophy of mind,2,3,1,-1
leibniz's philosophy of mind,philosophy of mind,3,2,2,-1
descartes' modal metaphysics,philosophy of mind,3,0,3,-1
mind,philosophy of mind,3,3,4,-1
panpsychism,philosophy of mind,3,2,3,-1
aristotle's psychology,philosophy of mind,3,3,1,-1
descartes' epistemology,philosophy of mind,3,0,3,-1
japanese zen buddhist philosophy,philosophy of mind,2,0,1,-1
mental representation in medieval philosophy,philosophy of mind,3,3,2,-1
cognitive science,philosophy of mind,3,0,4,-1
folk psychology as a theory,philosophy of mind,3,3,4,-1
computational theory of mind,philosophy of mind,3,0,4,-1
animal consciousness,philosophy of mind,3,3,4,-1
matter,philosophy of mind,1,0,3,-1
mental causation,philosophy of mind,3,3,4,-1
scottish philosophy in the 19th century,philosophy of mind,3,3,2,-1
dualism,philosophy of mind,3,3,4,-1
philosophy of psychology,philosophy of mind,3,0,4,-1
consciousness,philosophy of mind,3,2,4,-1
psychiatry,philosophy of mind,3,0,4,-1
philosophies of the particular sciences,philosophy of mind,3,0,3,-1
folk psychology,philosophy of mind,3,2,4,-1
ideas,philosophy of mind,3,3,3,-1
philosophy of physics,philosophy of mind,3,0,1,-1
eliminative materialism,philosophy of mind,3,1,4,-1
epistemological problems of memory,philosophy of mind,3,0,3,-1
teleological arguments for god's existence,philosophy of mind,1,-1,1,-1
mental representation,philosophy of mind,3,3,4,-1
ancient theories of soul,philosophy of mind,3,3,2,-1
metaphysics of mind,philosophy of mind,3,0,4,-1
syntactic analysis,philosophy of mind,2,3,2,-1
spinoza's psychological theory,philosophy of mind,3,3,2,-1
philosophy of nature,philosophy of mind,2,3,2,-1
20th century continental philosophy,philosophy of mind,3,0,3,-1
origin of aesthetic,philosophy of mind,2,3,2,-1
cartesian dualism,philosophy of mind,3,1,4,-1
great apes,philosophy of mind,1,3,3,-1
modularity of mind,philosophy of mind,3,3,4,-1
probability and statistics,philosophy of mind,1,0,1,-1
everett's relative-state formulation of quantum mechanics,philosophy of mind,3,0,1,-1
intentionality,philosophy of mind,3,3,4,-1
body,philosophy of mind,3,3,3,-1
aspects of mind,philosophy of mind,3,2,4,-1
propositional attitude,philosophy of mind,3,3,4,-1
perception,philosophy of mind,3,1,4,-1
philosophy of chemistry,philosophy of mind,2,3,0,-1
philosophy of perception,philosophy of mind,3,2,4,-1
abstract object,philosophy of mind,3,3,2,-1
sense-data,philosophy of mind,3,1,4,-1
unity of consciousness,philosophy of mind,3,3,3,-1
ancient philosophy (aristotle),philosophy of mind,3,3,1,-1
existence,philosophy of mind,3,1,1,-1
korean philosophy,philosophy of mind,2,0,1,-1
proper names,philosophy of mind,1,3,1,-1
consciousness and content,philosophy of mind,3,0,4,-1
realism and anti-realism,philosophy of mind,3,0,2,-1
internalism and externalism,philosophy of mind,3,0,4,-1
nonhuman animals,philosophy of mind,3,3,3,-1
realism and anti-realism,philosophy of mind,3,0,2,-1
sense data,philosophy of mind,3,1,4,-1
universals,philosophy of mind,2,0,3,-1
problem of perception,philosophy of mind,3,3,4,-1
externalism,philosophy of mind,3,3,4,-1
induction,philosophy of mind,2,3,2,-1
artificial intelligence,philosophy of mind,3,0,3,-1
consciousness and psychology,philosophy of mind,3,2,4,-1
mental content,philosophy of mind,3,3,4,-1
philosophy of science and the sciences,philosophy of mind,3,0,2,-1
philosophy of computer science,philosophy of mind,3,0,2,-1
philosophy of biology,philosophy of mind,3,0,2,-1
interactionism,philosophy of mind,3,2,4,-1
mental state,philosophy of mind,3,3,4,-1
modularity,philosophy of mind,3,1,4,-1
philosophy of art,philosophy of mind,2,3,1,-1
symbolic processing,philosophy of mind,3,2,3,-1
realism,philosophy of mind,3,0,3,-1
modern philosophy,philosophy of mind,3,0,3,-1
epistemological problems of perception,philosophy of mind,3,2,4,-1
computation and representation,philosophy of mind,3,3,4,-1
introspection,philosophy of mind,3,2,4,-1
mind-body problem,philosophy of mind,3,3,4,-1
imagery,philosophy of mind,3,2,3,-1
digital philosophy,philosophy of mind,3,0,2,-1
simulation theory,philosophy of mind,3,2,4,-1
mathematical logic,philosophy of mind,1,0,2,-1
internalism,philosophy of mind,3,3,4,-1
virtues and vices,philosophy of mind,1,-1,2,-1
social epistemology,epistemology,3,3,4,0
logic and artificial intelligence,artificial intelligence,3,0,4,-1
turing test,artificial intelligence,3,1,4,-1
frame problem,artificial intelligence,3,3,4,-1
logic and computation,artificial intelligence,3,3,4,-1
many-valued logic,artificial intelligence,3,3,3,-1
philosophy of computer science,artificial intelligence,3,3,4,-1
philosophy of computer science,artificial intelligence,3,3,4,-1
symbolic processing,artificial intelligence,3,1,4,-1
distributed representation,artificial intelligence,3,1,4,-1
temporal logic,artificial intelligence,3,3,3,-1
logic and language,artificial intelligence,3,3,4,-1
dynamic logic,artificial intelligence,3,3,4,-1
chinese room argument,artificial intelligence,3,3,4,-1
activation value,artificial intelligence,3,1,3,-1
input unit,artificial intelligence,3,1,4,-1
output unit,artificial intelligence,3,1,4,-1
modern history of computing,artificial intelligence,3,3,3,-1
leibniz's philosophy of mind,artificial intelligence,3,3,2,-1
computation and representation,artificial intelligence,3,3,4,-1
computational theory of mind,artificial intelligence,3,0,4,-1
computation,artificial intelligence,3,1,4,-1
informal logic,artificial intelligence,1,0,3,-1
connectionist model,artificial intelligence,3,1,4,-1
thinking machine,artificial intelligence,3,1,4,-1
folk psychology,artificial intelligence,3,3,3,-1
turing machine,artificial intelligence,3,3,4,-1
mental imagery,artificial intelligence,3,0,3,-1
logical behaviorism,artificial intelligence,1,0,3,-1
logic of conditionals,artificial intelligence,3,3,3,-1
connectionism,artificial intelligence,3,1,4,-1
cognitive science,artificial intelligence,3,3,4,-1
proof theory,artificial intelligence,3,3,4,-1
epistemic logic,artificial intelligence,3,3,3,-1
non-classical logic,artificial intelligence,3,3,3,-1
absent qualia,artificial intelligence,2,3,4,-1
boolean algebra,artificial intelligence,3,3,3,-1
speaker meaning,artificial intelligence,3,3,3,-1
mentalese,artificial intelligence,3,0,3,-1
modularity,artificial intelligence,3,3,3,-1
neural network,artificial intelligence,3,1,4,-1
19th century philosophy,artificial intelligence,2,3,2,-1
church-turing thesis,artificial intelligence,3,3,4,-1
modal logic,artificial intelligence,3,3,3,-1
network model,artificial intelligence,3,1,4,-1
classical logic,artificial intelligence,3,3,3,-1
chauvinism,artificial intelligence,1,0,1,-1
quantum computing,artificial intelligence,3,0,3,-1
deontic logic,artificial intelligence,1,0,3,-1
classicism,artificial intelligence,1,0,3,-1
probabilistic causation,artificial intelligence,3,3,2,-1
psychological theory,artificial intelligence,3,0,4,-1
dynamical system,artificial intelligence,3,3,3,-1
human intelligence,artificial intelligence,3,0,4,-1
intuitionistic logic,artificial intelligence,1,0,3,-1
eliminative materialism,artificial intelligence,2,3,4,-1
explanatory gap,artificial intelligence,1,0,4,-1
causal processes,artificial intelligence,3,3,3,-1
multiple realizability,artificial intelligence,3,0,4,-1
qualia,artificial intelligence,2,0,4,-1
inductive logic,artificial intelligence,3,3,4,-1
consciousness and science,artificial intelligence,0,-1,4,-1
relevance logic,artificial intelligence,3,3,3,-1
digital philosophy,artificial intelligence,3,3,3,-1
logicism,artificial intelligence,2,3,3,-1
semantic theories,artificial intelligence,3,3,4,-1
phenomenal consciousness,artificial intelligence,2,0,4,-1
language of thought hypothesis,artificial intelligence,3,0,4,-1
common knowledge,artificial intelligence,1,0,3,-1
molecular biology,artificial intelligence,1,3,2,-1
model theory,artificial intelligence,2,-1,3,-1
solipsism,artificial intelligence,1,0,3,-1
deductive reasoning,artificial intelligence,3,3,4,-1
symbol system,artificial intelligence,3,3,4,-1
algebra,artificial intelligence,2,3,2,-1
cartesian dualism,artificial intelligence,2,3,3,-1
probability,artificial intelligence,3,3,3,-1
polish philosophy,artificial intelligence,1,-1,1,-1
mathematical logic,artificial intelligence,3,3,3,-1
self-deception,artificial intelligence,1,3,2,-1
philosophy of neuroscience,artificial intelligence,3,0,2,-1
human cognition,artificial intelligence,3,0,4,-1
implicature,artificial intelligence,2,3,2,-1
logical constant,artificial intelligence,2,3,3,-1
representationalism,artificial intelligence,2,3,4,-1
set theory,artificial intelligence,2,3,3,-1
replication,artificial intelligence,2,3,3,-1
moral psychology,artificial intelligence,1,0,3,-1
logical truth,artificial intelligence,2,3,3,-1
game theory,artificial intelligence,3,3,3,-1
science and society,artificial intelligence,3,3,4,-1
scientific explanation,artificial intelligence,2,3,3,-1
connectives,artificial intelligence,3,3,3,-1
speech act,artificial intelligence,2,0,3,-1
existentialism,artificial intelligence,1,0,2,-1
decision theory,artificial intelligence,3,3,3,-1
denotation,artificial intelligence,1,0,4,-1
russian philosophy,artificial intelligence,1,-1,1,-1
ancient philosophy,artificial intelligence,1,3,1,-1
privacy,artificial intelligence,3,3,2,-1
computing,artificial intelligence,3,1,4,-1
mental imagery,cognitive science,3,1,4,-1
computation and representation,cognitive science,3,2,4,-1
symbolic processing,cognitive science,3,3,4,-1
kant's view of the mind and consciousness of self,cognitive science,3,3,2,-1
folk psychology,cognitive science,3,3,4,-1
connectionist model,cognitive science,3,1,4,-1
connectionism,cognitive science,3,1,4,-1
externalism about mental content,cognitive science,3,2,3,-1
neural network,cognitive science,3,1,4,-1
philosophy of science,cognitive science,3,3,3,-1
computationalism,cognitive science,3,3,4,-1
animal cognition,cognitive science,3,3,4,-1
teleological theories of mental content,cognitive science,3,3,3,-1
philosophy of computer science,cognitive science,3,0,4,-1
distributed representation,cognitive science,3,3,4,-1
computational theory of mind,cognitive science,3,2,4,-1
consciousness and mental content,cognitive science,3,2,4,-1
intertheory relations,cognitive science,3,3,3,-1
philosophy of neuroscience,cognitive science,3,2,4,-1
philosophy of neuroscience,cognitive science,3,0,4,-1
psychiatry,cognitive science,3,3,3,-1
logic and computation,cognitive science,3,2,4,-1
phenomenal consciousness,cognitive science,3,2,4,-1
intentional stance,cognitive science,3,3,4,-1
ordinary language philosophy,cognitive science,1,0,2,-1
chinese room argument,cognitive science,3,3,4,-1
causal theories of mental content,cognitive science,3,3,3,-1
metaphysics of mind,cognitive science,3,0,3,-1
mentalese,cognitive science,3,1,4,-1
philosophy of psychology,cognitive science,3,0,4,-1
qualia,cognitive science,3,2,3,-1
the theory theory,cognitive science,3,3,4,-1
consciousness and content,cognitive science,3,2,4,-1
blindsight,cognitive science,3,2,4,-1
teleosemantics,cognitive science,3,3,3,-1
newtonianism,cognitive science,1,-1,2,-1
dynamical system,cognitive science,3,3,4,-1
theories of mental content,cognitive science,3,2,3,-1
psychological relation,cognitive science,3,3,4,-1
performance,cognitive science,3,3,4,-1
consciousness and intentionality,cognitive science,3,2,4,-1
consciousness and psychology,cognitive science,3,2,4,-1
artificial intelligence,cognitive science,3,3,4,-1
non-conceptual content,cognitive science,3,3,4,-1
language of thought hypothesis,cognitive science,3,3,4,-1
philosophy of action,cognitive science,2,0,3,-1
folk psychology as mental simulation,cognitive science,3,1,4,-1
semantic conceptions of information,cognitive science,3,3,4,-1
reductive materialism,cognitive science,3,3,4,-1
scientific theory,cognitive science,3,3,4,-1
nativism,cognitive science,3,1,4,-1
speaker meaning,cognitive science,3,3,3,-1
language learning,cognitive science,3,1,4,-1
quantum computing,cognitive science,2,3,3,-1
intertheory relations in physics,cognitive science,2,3,3,-1
meaning holism,cognitive science,3,2,4,-1
evolutionary psychology,cognitive science,3,1,3,-1
classicism,cognitive science,1,-1,4,-1
higher-order theories of consciousness,cognitive science,3,3,4,-1
materialism,cognitive science,3,3,4,-1
simulation theory,cognitive science,3,3,3,-1
nonhuman animals,cognitive science,3,3,3,-1
nonconceptual mental content,cognitive science,3,3,3,-1
falsificationism,cognitive science,1,3,2,-1
emergent properties,cognitive science,3,3,4,-1
transcendental arguments,cognitive science,2,3,1,-1
model theory,cognitive science,2,-1,3,-1
pineal gland,cognitive science,3,3,2,-1
bayesianism,cognitive science,3,3,3,-1
epistemology of science,cognitive science,3,3,3,-1
neural correlates,cognitive science,3,1,4,-1
causal processes,cognitive science,3,3,3,-1
leibniz's philosophy of mind,cognitive science,3,3,2,-1
vitalism,cognitive science,1,0,2,-1
cartesian dualism,cognitive science,3,3,2,-1
rule-following,cognitive science,3,1,4,-1
philosophy of logic,cognitive science,3,3,4,-1
indeterminacy of translation,cognitive science,3,3,3,-1
church-turing thesis,cognitive science,1,0,4,-1
20th century philosophy,cognitive science,3,3,3,-1
mental causation,cognitive science,3,1,3,-1
methodological individualism,cognitive science,1,3,4,-1
phenomenological approaches to self-consciousness,cognitive science,3,2,3,-1
irrealism,cognitive science,1,0,3,-1
deductive reasoning,cognitive science,3,1,4,-1
animal consciousness,cognitive science,3,3,4,-1
compositionality,cognitive science,3,3,4,-1
scientific progress,cognitive science,3,3,4,-1
atheism and agnosticism,cognitive science,1,0,2,-1
scientific methodology,cognitive science,3,3,3,-1
other minds,cognitive science,3,3,4,-1
representationalism,cognitive science,3,2,4,-1
externalism,cognitive science,3,2,3,-1
self-reference,cognitive science,3,2,3,-1
human cognition,cognitive science,3,2,4,-1
modularity,cognitive science,3,3,4,-1
bayesian epistemology,cognitive science,3,3,3,-1
human intelligence,cognitive science,3,3,4,-1
biological notion of an individual,cognitive science,3,3,3,-1
metaphysics of science,cognitive science,3,0,4,-1
malebranche's theory of ideas and vision in god,philosophy of mind,3,3,1,0
kant's view of the mind and consciousness of self,philosophy of mind,3,3,1,0
medieval problem of universals,philosophy of mind,2,3,0,-1
other minds,philosophy of mind,3,3,3,0
consciousness and intentionality,philosophy of mind,3,2,4,0
chinese room argument,philosophy of mind,3,3,4,0
18th century british aesthetics,philosophy of mind,2,3,0,-1
leibniz's philosophy of mind,philosophy of mind,3,2,3,0
descartes' modal metaphysics,philosophy of mind,3,0,4,0
mind,philosophy of mind,3,3,4,1
panpsychism,philosophy of mind,3,2,4,0
aristotle's psychology,philosophy of mind,3,3,1,0
descartes' epistemology,philosophy of mind,3,0,2,0
japanese zen buddhist philosophy,philosophy of mind,2,0,1,1
mental representation in medieval philosophy,philosophy of mind,3,3,3,0
cognitive science,philosophy of mind,3,0,4,2
folk psychology as a theory,philosophy of mind,3,3,4,0
computational theory of mind,philosophy of mind,3,0,4,0
animal consciousness,philosophy of mind,3,3,3,0
matter,philosophy of mind,1,0,2,1
mental causation,philosophy of mind,3,3,4,0
scottish philosophy in the 19th century,philosophy of mind,3,3,0,-1
dualism,philosophy of mind,3,3,4,0
philosophy of psychology,philosophy of mind,3,0,4,0
consciousness,philosophy of mind,3,2,4,0
psychiatry,philosophy of mind,3,0,3,2
philosophies of the particular sciences,philosophy of mind,3,0,0,-1
folk psychology,philosophy of mind,3,2,4,0
ideas,philosophy of mind,3,3,3,0
philosophy of physics,philosophy of mind,3,0,2,3
eliminative materialism,philosophy of mind,3,1,4,0
epistemological problems of memory,philosophy of mind,3,0,4,0
teleological arguments for god's existence,philosophy of mind,1,3,0,-1
mental representation,philosophy of mind,3,3,4,0
ancient theories of soul,philosophy of mind,3,3,2,3
metaphysics of mind,philosophy of mind,3,0,4,0
syntactic analysis,philosophy of mind,2,3,3,0
spinoza's psychological theory,philosophy of mind,3,3,2,0
philosophy of nature,philosophy of mind,2,3,1,2
20th century continental philosophy,philosophy of mind,3,0,1,1
origin of aesthetic,philosophy of mind,2,3,0,-1
cartesian dualism,philosophy of mind,3,1,4,0
great apes,philosophy of mind,1,3,1,2
modularity of mind,philosophy of mind,3,3,4,0
probability and statistics,philosophy of mind,1,0,0,-1
everett's relative-state formulation of quantum mechanics,philosophy of mind,3,0,0,-1
intentionality,philosophy of mind,3,3,4,0
body,philosophy of mind,3,3,3,2
aspects of mind,philosophy of mind,3,2,4,0
propositional attitude,philosophy of mind,3,3,4,0
perception,philosophy of mind,3,1,4,3
philosophy of chemistry,philosophy of mind,2,3,1,3
philosophy of perception,philosophy of mind,3,2,3,3
abstract object,philosophy of mind,3,3,1,3
sense-data,philosophy of mind,3,1,4,3
unity of consciousness,philosophy of mind,3,3,4,0
ancient philosophy (aristotle),philosophy of mind,3,3,0,-1
existence,philosophy of mind,3,1,0,-1
korean philosophy,philosophy of mind,2,0,0,-1
proper names,philosophy of mind,1,3,2,3
consciousness and content,philosophy of mind,3,0,4,0
probability,philosophy of mind,1,3,0,-1
realism and anti-realism,philosophy of mind,3,0,2,2
internalism and externalism,philosophy of mind,3,0,4,0
nonhuman animals,philosophy of mind,3,3,3,1
realism and anti-realism,philosophy of mind,3,0,2,2
sense data,philosophy of mind,3,1,4,2
universals,philosophy of mind,2,0,1,1
problem of perception,philosophy of mind,3,3,3,0
externalism,philosophy of mind,3,3,4,0
induction,philosophy of mind,2,3,2,0
artificial intelligence,philosophy of mind,3,0,4,0
consciousness and psychology,philosophy of mind,3,2,4,0
mental content,philosophy of mind,3,3,4,0
philosophy of science and the sciences,philosophy of mind,3,0,3,3
philosophy of computer science,philosophy of mind,3,0,3,2
philosophy of biology,philosophy of mind,3,0,2,2
interactionism,philosophy of mind,3,2,4,0
mental state,philosophy of mind,3,3,4,0
modularity,philosophy of mind,3,1,4,0
philosophy of art,philosophy of mind,2,3,0,-1
symbolic processing,philosophy of mind,3,2,4,0
realism,philosophy of mind,3,0,2,2
modern philosophy,philosophy of mind,3,0,2,1
epistemological problems of perception,philosophy of mind,3,2,3,0
computation and representation,philosophy of mind,3,3,4,0
introspection,philosophy of mind,3,2,4,0
mind-body problem,philosophy of mind,3,3,4,0
imagery,philosophy of mind,3,2,4,0
digital philosophy,philosophy of mind,3,0,3,2
simulation theory,philosophy of mind,3,2,4,0
mathematical logic,philosophy of mind,1,0,1,3
internalism,philosophy of mind,3,3,4,0
virtues and vices,philosophy of mind,1,-1,0,-1
kant's critique of metaphysics,metaphysics,3,3,2,0
metaphysics of science,metaphysics,3,2,3,0
philosophy of physics,metaphysics,3,1,2,3
process theism,metaphysics,3,3,2,0
philosophies of the particular sciences,metaphysics,3,3,3,3
medieval theories of the categories,metaphysics,3,3,3,0
philosophy of science and the sciences,metaphysics,3,3,3,3
aristotle on causality,metaphysics,3,3,2,0
philosophy of psychology,metaphysics,3,0,2,3
matter,metaphysics,3,3,3,0
metaphysics of mind,metaphysics,3,2,4,0
philosophy of mathematics,metaphysics,3,1,2,3
feminist metaphysics,metaphysics,3,0,3,0
aristotle and mathematics,metaphysics,3,1,3,2
medieval theories of analogy,metaphysics,3,3,1,0
realism and anti-realism,metaphysics,3,2,4,0
realism and anti-realism,metaphysics,3,2,4,0
natural philosophy,metaphysics,3,3,3,2
philosophy of science,metaphysics,3,3,3,3
aristotle's logic,metaphysics,3,3,1,0
realism,metaphysics,3,3,4,0
kant's philosophy of religion,metaphysics,3,3,3,0
medieval theories of relations,metaphysics,3,3,3,0
kant's philosophical development,metaphysics,3,3,1,0
18th century german aesthetics,metaphysics,3,3,0,-1
philosophy of space and time,metaphysics,3,3,3,3
existence,metaphysics,3,3,4,0
ancient philosophy (aristotle),metaphysics,3,3,2,3
hylomorphism,metaphysics,3,3,4,0
philosophy of mind,metaphysics,3,0,3,2
scottish philosophy in the 19th century,metaphysics,3,3,0,-1
analytic feminism,metaphysics,3,0,0,-1
inherence,metaphysics,3,3,4,0
mind-body problem,metaphysics,3,3,4,0
plato on utopia,metaphysics,3,3,0,-1
modern philosophy,metaphysics,3,3,3,3
kant's philosophy of science,metaphysics,3,2,1,0
medieval theories of causality,metaphysics,3,3,4,0
logos,metaphysics,3,3,3,0
philosophy of perception,metaphysics,3,3,1,3
philosophy of chemistry,metaphysics,3,3,2,3
universals,metaphysics,3,3,4,0
principle of sufficient reason,metaphysics,3,3,3,3
aristotle's natural philosophy,metaphysics,3,3,3,0
time,metaphysics,3,3,3,3
abstract object,metaphysics,3,3,4,3
plato's middle period metaphysics and epistemology,metaphysics,3,3,2,0
mind,metaphysics,3,3,3,3
proper names,metaphysics,3,3,1,0
personal identity and ethics,metaphysics,3,3,3,3
cosmology,metaphysics,3,3,3,2
continuant,metaphysics,3,3,4,0
cause and effect,metaphysics,3,3,3,3
theory of forms,metaphysics,3,3,4,0
interpretation,metaphysics,3,3,0,-1
leibniz's influence on kant,metaphysics,3,2,2,3
aristotelianism,metaphysics,3,3,3,0
existence of god,metaphysics,3,3,3,3
motion and time,metaphysics,3,3,3,3
laws of nature,metaphysics,3,3,3,3
mathematical logic,metaphysics,3,0,1,2
descartes' modal metaphysics,metaphysics,3,2,4,0
metaphysics of causation,metaphysics,3,2,4,0
theory of truth,metaphysics,3,3,1,2
vitalism,metaphysics,3,3,2,0
arabic philosophy and islamic philosophy,metaphysics,3,2,1,0
singular propositions,metaphysics,3,3,2,0
philosophy of biology,metaphysics,3,3,2,3
philosophy of art,metaphysics,3,3,0,-1
natural theology,metaphysics,3,3,3,3
peripatetic,metaphysics,3,3,2,0
compositionality and logical form,metaphysics,3,3,0,-1
eternity of the world,metaphysics,3,3,3,0
ideas,metaphysics,3,3,2,3
meaning,metaphysics,3,3,0,2
sophists,metaphysics,2,3,2,0
epistemology of science,metaphysics,3,0,1,0
social philosophy and political philosophy,metaphysics,3,0,0,-1
social and political philosophy,metaphysics,3,3,0,-1
goodness,metaphysics,3,3,2,0
mereology,metaphysics,3,3,4,0
identity theory of truth,metaphysics,3,3,2,0
analysis,metaphysics,3,3,3,0
Eternity in Christian Thought,metaphysics,3,3,3,0
goodness and value theory,metaphysics,3,3,1,2
platonism,metaphysics,3,3,4,0
episteme and techne,metaphysics,3,0,2,0
identity of indiscernibles,metaphysics,3,2,4,0
identity and individuality in quantum theory,metaphysics,3,3,3,0
simultaneity,metaphysics,3,3,3,0
substance,metaphysics,3,3,3,0
confirmation and induction,metaphysics,3,3,1,0
process philosophy,metaphysics,3,3,2,0
religious diversity,philosophy of religion,3,3,3,0
religion,philosophy of religion,3,1,4,1
kant's philosophy of religion,philosophy of religion,3,0,2,0
epistemology of religion,philosophy of religion,3,0,4,0
religion and science,philosophy of religion,3,2,4,0
fideism,philosophy of religion,3,2,4,0
hume on religion,philosophy of religion,3,2,4,0
religion and morality,philosophy of religion,3,3,4,0
science and religion,philosophy of religion,3,2,4,0
pantheism,philosophy of religion,3,2,3,0
definition of morality,philosophy of religion,2,3,2,3
locke's political philosophy,philosophy of religion,2,0,1,-1
pragmatic arguments and belief in god,philosophy of religion,3,2,3,0
religious language,philosophy of religion,3,3,3,0
theism,philosophy of religion,3,3,4,0
concepts of god,philosophy of religion,3,3,4,0
miracles,philosophy of religion,3,3,4,0
influence of islamic thought on maimonides,philosophy of religion,3,2,3,0
cosmological arguments for the existence of god,philosophy of religion,3,3,4,0
arguments for the existence of god,philosophy of religion,3,2,4,0
christian theology,philosophy of religion,3,0,4,0
problem of evil,philosophy of religion,3,3,4,0
ontological argument,philosophy of religion,3,1,4,0
afterlife,philosophy of religion,3,3,3,3
philosophy and christian theology,philosophy of religion,3,3,4,0
modern philosophy,philosophy of religion,3,2,3,3
islamic philosophy,philosophy of religion,3,0,3,0
atheism,philosophy of religion,3,3,4,3
cosmological argument,philosophy of religion,3,3,4,0
Eternity in Christian Thought,philosophy of religion,3,3,3,3
atonement,philosophy of religion,3,3,2,0
evolutionary psychology,philosophy of religion,1,0,2,3
creationism,philosophy of religion,3,2,3,3
church and state,philosophy of religion,3,3,3,3
omniscience,philosophy of religion,3,3,4,0
divine revelation,philosophy of religion,3,3,4,0
divine law,philosophy of religion,3,3,3,3
monotheism,philosophy of religion,3,3,4,0
