key,ideaA,ideaB,relatedness,generality,persona
"('artificialintelligence', 'thinkingmachine')",thinking machine,artificial intelligence,4,0,phd
"('artificialintelligence', 'thinkingmachine')",thinking machine,artificial intelligence,4,0,expert
"('artificialintelligence', 'thinkingmachine')",thinking machine,artificial intelligence,4,-1,expert
"('belief', 'philosophyofreligion')",philosophy of religion,belief,4,0,course_taker
"('belief', 'philosophyofreligion')",philosophy of religion,belief,4,1,phd
"('belief', 'philosophyofreligion')",philosophy of religion,belief,3,0,phd
"('belief', 'philosophyofreligion')",philosophy of religion,belief,3,0,phd
"('belief', 'philosophyofreligion')",philosophy of religion,belief,4,0,expert
"('chinesephilosophy', 'daoism')",chinese philosophy,daoism,3,0,course_taker
"('chinesephilosophy', 'daoism')",chinese philosophy,daoism,4,0,phd
"('chinesephilosophy', 'daoism')",chinese philosophy,daoism,4,1,expert
"('artificialintelligence', 'philosophyofcomputerscience')",artificial intelligence,philosophy of computer science,4,1,course_taker
"('artificialintelligence', 'philosophyofcomputerscience')",artificial intelligence,philosophy of computer science,4,1,phd
"('artificialintelligence', 'philosophyofcomputerscience')",artificial intelligence,philosophy of computer science,3,-1,phd
"('artificialintelligence', 'philosophyofcomputerscience')",artificial intelligence,philosophy of computer science,4,-1,expert
"('cognitivescience', 'philosophyofscience')",cognitive science,philosophy of science,4,1,course_taker
"('cognitivescience', 'philosophyofscience')",cognitive science,philosophy of science,2,3,phd
"('cognitivescience', 'philosophyofscience')",cognitive science,philosophy of science,3,-1,expert
"('cognitivescience', 'philosophyofscience')",cognitive science,philosophy of science,4,0,expert
"('cognitivescience', 'philosophyofscience')",cognitive science,philosophy of science,3,3,expert
"('philosophyofreligion', 'religiousdiversity')",philosophy of religion,religious diversity,3,0,course_taker
"('philosophyofreligion', 'religiousdiversity')",philosophy of religion,religious diversity,4,0,phd
"('philosophyofreligion', 'religiousdiversity')",philosophy of religion,religious diversity,1,0,phd
"('philosophyofreligion', 'religiousdiversity')",philosophy of religion,religious diversity,4,0,phd
"('philosophyofreligion', 'religiousdiversity')",philosophy of religion,religious diversity,3,0,expert
"('philosophyofreligion', 'religiousdiversity')",philosophy of religion,religious diversity,4,0,expert
"('cognitivescience', 'mind')",cognitive science,mind,4,0,course_taker
"('cognitivescience', 'mind')",cognitive science,mind,4,3,phd
"('cognitivescience', 'mind')",cognitive science,mind,4,0,expert
"('japaneseconfucianphilosophy', 'japanesephilosophy')",japanese confucian philosophy,japanese philosophy,2,0,novice
"('japaneseconfucianphilosophy', 'japanesephilosophy')",japanese confucian philosophy,japanese philosophy,4,0,phd
"('japaneseconfucianphilosophy', 'japanesephilosophy')",japanese confucian philosophy,japanese philosophy,4,0,expert
"('artificialintelligence', 'logicandartificialintelligence')",artificial intelligence,logic and artificial intelligence,4,0,course_taker
"('artificialintelligence', 'logicandartificialintelligence')",artificial intelligence,logic and artificial intelligence,4,0,phd
"('artificialintelligence', 'logicandartificialintelligence')",artificial intelligence,logic and artificial intelligence,4,0,expert
"('artificialintelligence', 'logicandartificialintelligence')",artificial intelligence,logic and artificial intelligence,4,-1,expert
"('cognitivescience', 'philosophyofmind')",cognitive science,philosophy of mind,4,2,course_taker
"('cognitivescience', 'philosophyofmind')",cognitive science,philosophy of mind,4,0,phd
"('cognitivescience', 'philosophyofmind')",cognitive science,philosophy of mind,4,0,phd
"('cognitivescience', 'philosophyofmind')",cognitive science,philosophy of mind,3,2,phd
"('cognitivescience', 'philosophyofmind')",cognitive science,philosophy of mind,4,-1,expert
"('cognitivescience', 'philosophyofmind')",cognitive science,philosophy of mind,4,2,expert
"('cognitivescience', 'philosophyofmind')",cognitive science,philosophy of mind,4,0,expert
"('cognitivescience', 'philosophyofmind')",cognitive science,philosophy of mind,4,2,expert
"('philosophyofmathematics', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of mathematics,1,2,course_taker
"('philosophyofmathematics', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of mathematics,3,-1,phd
"('philosophyofmathematics', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of mathematics,2,0,phd
"('philosophyofmathematics', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of mathematics,1,0,phd
"('philosophyofmathematics', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of mathematics,4,1,phd
"('philosophyofmathematics', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of mathematics,1,2,phd
"('philosophyofmathematics', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of mathematics,1,2,expert
"('cognitivescience', 'connectionism')",connectionism,cognitive science,4,1,course_taker
"('cognitivescience', 'connectionism')",connectionism,cognitive science,4,0,phd
"('cognitivescience', 'connectionism')",connectionism,cognitive science,4,0,expert
"('cognitivescience', 'connectionism')",connectionism,cognitive science,4,-1,expert
"('feministphilosophyofreligion', 'philosophyofreligion')",philosophy of religion,feminist philosophy of religion,3,0,course_taker
"('feministphilosophyofreligion', 'philosophyofreligion')",philosophy of religion,feminist philosophy of religion,4,0,phd
"('feministphilosophyofreligion', 'philosophyofreligion')",philosophy of religion,feminist philosophy of religion,2,0,phd
"('feministphilosophyofreligion', 'philosophyofreligion')",philosophy of religion,feminist philosophy of religion,4,0,phd
"('feministphilosophyofreligion', 'philosophyofreligion')",philosophy of religion,feminist philosophy of religion,3,2,expert
"('philosophyofreligion', 'religionandscience')",philosophy of religion,religion and science,4,0,course_taker
"('philosophyofreligion', 'religionandscience')",philosophy of religion,religion and science,4,0,phd
"('philosophyofreligion', 'religionandscience')",philosophy of religion,religion and science,4,0,phd
"('philosophyofreligion', 'religionandscience')",philosophy of religion,religion and science,4,0,phd
"('philosophyofreligion', 'religionandscience')",philosophy of religion,religion and science,4,0,expert
"('philosophyofreligion', 'religionandscience')",philosophy of religion,religion and science,4,0,expert
"('chinesebuddhism', 'chinesephilosophy')",chinese buddhism,chinese philosophy,2,0,novice
"('chinesebuddhism', 'chinesephilosophy')",chinese buddhism,chinese philosophy,4,0,phd
"('chinesebuddhism', 'chinesephilosophy')",chinese buddhism,chinese philosophy,4,0,expert
"('cognitivescience', 'philosophyofpsychology')",cognitive science,philosophy of psychology,4,2,course_taker
"('cognitivescience', 'philosophyofpsychology')",cognitive science,philosophy of psychology,4,3,phd
"('cognitivescience', 'philosophyofpsychology')",cognitive science,philosophy of psychology,4,0,phd
"('cognitivescience', 'philosophyofpsychology')",cognitive science,philosophy of psychology,4,-1,expert
"('cognitivescience', 'philosophyofpsychology')",cognitive science,philosophy of psychology,4,2,expert
"('cognitivescience', 'representation')",cognitive science,representation,4,0,course_taker
"('cognitivescience', 'representation')",cognitive science,representation,4,3,phd
"('cognitivescience', 'representation')",cognitive science,representation,4,1,expert
"('philosophyofscienceandthesciences', 'probabilityandstatistics')",philosophy of science and the sciences,probability and statistics,4,3,novice
"('philosophyofscienceandthesciences', 'probabilityandstatistics')",philosophy of science and the sciences,probability and statistics,4,-1,phd
"('philosophyofscienceandthesciences', 'probabilityandstatistics')",philosophy of science and the sciences,probability and statistics,3,0,phd
"('philosophyofscienceandthesciences', 'probabilityandstatistics')",philosophy of science and the sciences,probability and statistics,3,3,phd
"('philosophyofscienceandthesciences', 'probabilityandstatistics')",philosophy of science and the sciences,probability and statistics,3,0,phd
"('philosophyofscienceandthesciences', 'probabilityandstatistics')",philosophy of science and the sciences,probability and statistics,2,1,expert
"('philosophyofscienceandthesciences', 'probabilityandstatistics')",philosophy of science and the sciences,probability and statistics,4,3,expert
"('artificialintelligence', 'logic')",artificial intelligence,logic,4,2,course_taker
"('artificialintelligence', 'logic')",artificial intelligence,logic,4,3,phd
"('artificialintelligence', 'logic')",artificial intelligence,logic,3,2,phd
"('artificialintelligence', 'logic')",artificial intelligence,logic,2,0,phd
"('artificialintelligence', 'logic')",artificial intelligence,logic,4,1,expert
"('artificialintelligence', 'logic')",artificial intelligence,logic,3,3,expert
"('bioethics', 'biomedicalethics')",biomedical ethics,bioethics,4,0,phd
"('bioethics', 'biomedicalethics')",biomedical ethics,bioethics,4,2,phd
"('bioethics', 'biomedicalethics')",biomedical ethics,bioethics,4,2,expert
"('mentalcontent', 'representation')",representation,mental content,4,0,phd
"('mentalcontent', 'representation')",representation,mental content,4,1,expert
"('cognitivescience', 'folkpsychology')",folk psychology,cognitive science,4,0,phd
"('cognitivescience', 'folkpsychology')",folk psychology,cognitive science,3,2,phd
"('cognitivescience', 'folkpsychology')",folk psychology,cognitive science,4,2,expert
"('cognitivescience', 'folkpsychology')",folk psychology,cognitive science,4,-1,expert
"('aristotleonnoncontradiction', 'perception')",aristotle on non-contradiction,perception,0,-1,phd
"('aristotleonnoncontradiction', 'perception')",aristotle on non-contradiction,perception,0,-1,expert
"('epistemology', 'socialphilosophyandpoliticalphilosophy')",social philosophy and political philosophy,epistemology,1,2,phd
"('epistemology', 'socialphilosophyandpoliticalphilosophy')",social philosophy and political philosophy,epistemology,0,-1,expert
"('epistemology', 'realism')",realism,epistemology,2,-1,phd
"('epistemology', 'realism')",realism,epistemology,2,0,phd
"('epistemology', 'realism')",realism,epistemology,3,0,expert
"('epistemology', 'philosophiesoftheparticularsciences')",philosophies of the particular sciences,epistemology,3,-1,phd
"('epistemology', 'philosophiesoftheparticularsciences')",philosophies of the particular sciences,epistemology,2,2,phd
"('epistemology', 'philosophiesoftheparticularsciences')",philosophies of the particular sciences,epistemology,2,2,expert
"('epistemology', 'philosophiesoftheparticularsciences')",philosophies of the particular sciences,epistemology,1,0,expert
"('metaphysics', 'realismandantirealism')",realism and anti-realism,metaphysics,4,0,phd
"('metaphysics', 'realismandantirealism')",realism and anti-realism,metaphysics,4,0,phd
"('metaphysics', 'realismandantirealism')",realism and anti-realism,metaphysics,3,2,phd
"('metaphysics', 'realismandantirealism')",realism and anti-realism,metaphysics,4,0,expert
"('metaphysics', 'realismandantirealism')",realism and anti-realism,metaphysics,4,0,expert
"('einsteinsphilosophyofscience', 'philosophyofscienceandthesciences')",einstein's philosophy of science,philosophy of science and the sciences,4,-1,phd
"('einsteinsphilosophyofscience', 'philosophyofscienceandthesciences')",einstein's philosophy of science,philosophy of science and the sciences,4,0,phd
"('einsteinsphilosophyofscience', 'philosophyofscienceandthesciences')",einstein's philosophy of science,philosophy of science and the sciences,4,0,phd
"('einsteinsphilosophyofscience', 'philosophyofscienceandthesciences')",einstein's philosophy of science,philosophy of science and the sciences,3,0,expert
"('medievaltheoriesofrelations', 'metaphysics')",medieval theories of relations,metaphysics,4,0,phd
"('medievaltheoriesofrelations', 'metaphysics')",medieval theories of relations,metaphysics,4,0,phd
"('medievaltheoriesofrelations', 'metaphysics')",medieval theories of relations,metaphysics,3,0,expert
"('epistemology', 'probability')",probability,epistemology,3,3,phd
"('epistemology', 'probability')",probability,epistemology,4,0,expert
"('epistemologicalproblemsoftestimony', 'epistemology')",epistemological problems of testimony,epistemology,4,-1,phd
"('epistemologicalproblemsoftestimony', 'epistemology')",epistemological problems of testimony,epistemology,4,0,phd
"('epistemologicalproblemsoftestimony', 'epistemology')",epistemological problems of testimony,epistemology,4,0,phd
"('epistemologicalproblemsoftestimony', 'epistemology')",epistemological problems of testimony,epistemology,3,0,expert
"('epistemology', 'reliabilism')",reliabilism,epistemology,4,-1,phd
"('epistemology', 'reliabilism')",reliabilism,epistemology,4,0,phd
"('epistemology', 'reliabilism')",reliabilism,epistemology,4,0,phd
"('epistemology', 'reliabilism')",reliabilism,epistemology,4,0,expert
"('epistemology', 'reliabilism')",reliabilism,epistemology,4,0,expert
"('connectionism', 'connectionistmodel')",connectionism,connectionist model,4,0,course_taker
"('connectionism', 'connectionistmodel')",connectionism,connectionist model,3,0,phd
"('japanesezenbuddhistphilosophy', 'philosophyofmind')",japanese zen buddhist philosophy,philosophy of mind,0,-1,phd
"('japanesezenbuddhistphilosophy', 'philosophyofmind')",japanese zen buddhist philosophy,philosophy of mind,1,-1,expert
"('japanesezenbuddhistphilosophy', 'philosophyofmind')",japanese zen buddhist philosophy,philosophy of mind,1,1,expert
"('japanesezenbuddhistphilosophy', 'philosophyofmind')",japanese zen buddhist philosophy,philosophy of mind,2,0,expert
"('japanesezenbuddhistphilosophy', 'philosophyofmind')",japanese zen buddhist philosophy,philosophy of mind,0,-1,expert
"('autism', 'perception')",autism,perception,0,-1,phd
"('autism', 'perception')",autism,perception,1,3,expert
"('internalismandexternalism', 'philosophyofmind')",internalism and externalism,philosophy of mind,3,0,phd
"('internalismandexternalism', 'philosophyofmind')",internalism and externalism,philosophy of mind,4,-1,expert
"('internalismandexternalism', 'philosophyofmind')",internalism and externalism,philosophy of mind,4,0,expert
"('internalismandexternalism', 'philosophyofmind')",internalism and externalism,philosophy of mind,4,0,expert
"('internalismandexternalism', 'philosophyofmind')",internalism and externalism,philosophy of mind,4,0,expert
"('internalismandexternalism', 'philosophyofmind')",internalism and externalism,philosophy of mind,4,1,expert
"('internalismandexternalism', 'philosophyofmind')",internalism and externalism,philosophy of mind,4,1,expert
"('knowledge', 'rationalismvsempiricism')",rationalism vs. empiricism,knowledge,4,0,phd
"('knowledge', 'rationalismvsempiricism')",rationalism vs. empiricism,knowledge,4,0,expert
"('higherordertheoriesofconsciousness', 'perception')",higher-order theories of consciousness,perception,3,0,phd
"('higherordertheoriesofconsciousness', 'perception')",higher-order theories of consciousness,perception,3,0,expert
"('artisticrepresentation', 'perception')",artistic representation,perception,0,-1,phd
"('artisticrepresentation', 'perception')",artistic representation,perception,3,0,expert
"('artisticrepresentation', 'perception')",artistic representation,perception,4,2,expert
"('chineseandwestern', 'chinesephilosophy')",chinese and western,chinese philosophy,-1,-1,novice
"('chineseandwestern', 'chinesephilosophy')",chinese and western,chinese philosophy,3,1,expert
"('philosophyofcomputerscience', 'philosophyofmathematics')",philosophy of computer science,philosophy of mathematics,3,2,course_taker
"('philosophyofcomputerscience', 'philosophyofmathematics')",philosophy of computer science,philosophy of mathematics,4,2,phd
"('epistemologicalproblemsoftestimony', 'perception')",epistemological problems of testimony,perception,0,-1,phd
"('epistemologicalproblemsoftestimony', 'perception')",epistemological problems of testimony,perception,3,0,expert
"('everettsrelativestateformulationofquantummechanics', 'philosophyofmind')",everett's relative-state formulation of quantum mechanics,philosophy of mind,0,-1,phd
"('everettsrelativestateformulationofquantummechanics', 'philosophyofmind')",everett's relative-state formulation of quantum mechanics,philosophy of mind,1,-1,expert
"('everettsrelativestateformulationofquantummechanics', 'philosophyofmind')",everett's relative-state formulation of quantum mechanics,philosophy of mind,0,-1,expert
"('everettsrelativestateformulationofquantummechanics', 'philosophyofmind')",everett's relative-state formulation of quantum mechanics,philosophy of mind,1,0,expert
"('consciousness', 'unityofconsciousness')",unity of consciousness,consciousness,4,0,phd
"('consciousness', 'unityofconsciousness')",unity of consciousness,consciousness,4,1,expert
"('foreknowledgeandfreewill', 'freewill')",foreknowledge and free will,free will,4,0,phd
"('foreknowledgeandfreewill', 'freewill')",foreknowledge and free will,free will,4,-1,expert
"('aristotleslogic', 'metaphysics')",aristotle's logic,metaphysics,1,0,phd
"('aristotleslogic', 'metaphysics')",aristotle's logic,metaphysics,2,3,phd
"('aristotleslogic', 'metaphysics')",aristotle's logic,metaphysics,1,0,expert
"('aristotleslogic', 'metaphysics')",aristotle's logic,metaphysics,3,3,expert
"('intentionality', 'perception')",intentionality,perception,4,1,phd
"('intentionality', 'perception')",intentionality,perception,3,2,expert
"('philosophyandchristiantheology', 'philosophyofreligion')",philosophy and christian theology,philosophy of religion,4,0,phd
"('philosophyandchristiantheology', 'philosophyofreligion')",philosophy and christian theology,philosophy of religion,4,0,phd
"('philosophyandchristiantheology', 'philosophyofreligion')",philosophy and christian theology,philosophy of religion,4,0,expert
"('computationallinguistics', 'perception')",computational linguistics,perception,0,-1,phd
"('computationallinguistics', 'perception')",computational linguistics,perception,0,-1,expert
"('metaphysics', 'naturaltheology')",natural theology,metaphysics,4,0,phd
"('metaphysics', 'naturaltheology')",natural theology,metaphysics,3,3,expert
"('artificialintelligence', 'outputunit')",output unit,artificial intelligence,1,0,phd
"('artificialintelligence', 'outputunit')",output unit,artificial intelligence,4,0,expert
"('artificialintelligence', 'outputunit')",output unit,artificial intelligence,4,-1,expert
"('externalism', 'philosophyofmind')",externalism,philosophy of mind,3,3,phd
"('externalism', 'philosophyofmind')",externalism,philosophy of mind,4,-1,expert
"('externalism', 'philosophyofmind')",externalism,philosophy of mind,4,0,expert
"('externalism', 'philosophyofmind')",externalism,philosophy of mind,4,0,expert
"('externalism', 'philosophyofmind')",externalism,philosophy of mind,4,1,expert
"('philosophyoflanguage', 'sentence')",sentence,philosophy of language,4,0,phd
"('philosophyoflanguage', 'sentence')",sentence,philosophy of language,4,0,phd
"('philosophyoflanguage', 'sentence')",sentence,philosophy of language,-1,0,expert
"('perception', 'selfknowledge')",self-knowledge,perception,2,2,phd
"('perception', 'selfknowledge')",self-knowledge,perception,3,2,expert
"('perception', 'selfknowledge')",self-knowledge,perception,2,2,expert
"('continuant', 'metaphysics')",continuant,metaphysics,4,0,phd
"('continuant', 'metaphysics')",continuant,metaphysics,4,0,expert
"('matter', 'philosophyofreligion')",matter,philosophy of religion,0,-1,phd
"('matter', 'philosophyofreligion')",matter,philosophy of religion,3,0,phd
"('matter', 'philosophyofreligion')",matter,philosophy of religion,1,0,phd
"('matter', 'philosophyofreligion')",matter,philosophy of religion,1,1,expert
"('metaphysics', 'philosophyofart')",philosophy of art,metaphysics,1,3,phd
"('metaphysics', 'philosophyofart')",philosophy of art,metaphysics,0,-1,expert
"('philosophyofscience', 'philosophyofsocialscience')",philosophy of social science,philosophy of science,4,0,phd
"('philosophyofscience', 'philosophyofsocialscience')",philosophy of social science,philosophy of science,4,1,expert
"('aesthetics', 'aestheticsandphilosophyofart')",aesthetics,aesthetics and philosophy of art,4,0,phd
"('aesthetics', 'aestheticsandphilosophyofart')",aesthetics,aesthetics and philosophy of art,4,0,phd
"('aesthetics', 'aestheticsandphilosophyofart')",aesthetics,aesthetics and philosophy of art,3,0,phd
"('aesthetics', 'aestheticsandphilosophyofart')",aesthetics,aesthetics and philosophy of art,4,2,expert
"('epistemology', 'probabilityandstatistics')",probability and statistics,epistemology,3,-1,phd
"('epistemology', 'probabilityandstatistics')",probability and statistics,epistemology,1,2,phd
"('epistemology', 'probabilityandstatistics')",probability and statistics,epistemology,3,0,expert
"('essenceandexistence', 'existence')",essence and existence,existence,4,0,phd
"('essenceandexistence', 'existence')",essence and existence,existence,4,0,phd
"('essenceandexistence', 'existence')",essence and existence,existence,4,0,expert
"('epistemology', 'foundationalism')",foundationalism,epistemology,4,-1,phd
"('epistemology', 'foundationalism')",foundationalism,epistemology,4,0,phd
"('epistemology', 'foundationalism')",foundationalism,epistemology,4,0,phd
"('epistemology', 'foundationalism')",foundationalism,epistemology,4,0,expert
"('epistemology', 'foundationalism')",foundationalism,epistemology,4,0,expert
"('epistemology', 'foundationalism')",foundationalism,epistemology,4,0,expert
"('body', 'philosophyofmind')",body,philosophy of mind,3,3,phd
"('body', 'philosophyofmind')",body,philosophy of mind,3,-1,expert
"('body', 'philosophyofmind')",body,philosophy of mind,3,2,expert
"('body', 'philosophyofmind')",body,philosophy of mind,4,1,expert
"('body', 'philosophyofmind')",body,philosophy of mind,3,2,expert
"('philosophyofcomputerscience', 'philosophyofscience')",philosophy of computer science,philosophy of science,3,1,course_taker
"('philosophyofcomputerscience', 'philosophyofscience')",philosophy of computer science,philosophy of science,4,0,phd
"('philosophyofcomputerscience', 'philosophyofscience')",philosophy of computer science,philosophy of science,4,1,phd
"('causalprocesses', 'causation')",causal processes,causation,4,0,phd
"('causalprocesses', 'causation')",causal processes,causation,4,0,expert
"('ethics', 'gametheoryinethics')",game theory in ethics,ethics,3,0,phd
"('ethics', 'gametheoryinethics')",game theory in ethics,ethics,3,3,phd
"('ethics', 'gametheoryinethics')",game theory in ethics,ethics,4,0,expert
"('cognitivescience', 'kantsviewofthemindandconsciousnessofself')",kant's view of the mind and consciousness of self,cognitive science,2,3,phd
"('cognitivescience', 'kantsviewofthemindandconsciousnessofself')",kant's view of the mind and consciousness of self,cognitive science,2,-1,expert
"('metaphysics', 'realism')",realism,metaphysics,4,0,phd
"('metaphysics', 'realism')",realism,metaphysics,4,0,phd
"('metaphysics', 'realism')",realism,metaphysics,4,0,expert
"('perception', 'sensedata')",sense-data,perception,4,0,phd
"('perception', 'sensedata')",sense-data,perception,4,0,phd
"('perception', 'sensedata')",sense-data,perception,4,0,phd
"('perception', 'sensedata')",sense-data,perception,4,0,expert
"('perception', 'sensedata')",sense-data,perception,4,0,expert
"('continentalphilosophy', 'philosophyofhistory')",philosophy of history,continental philosophy,2,1,phd
"('continentalphilosophy', 'philosophyofhistory')",philosophy of history,continental philosophy,2,3,expert
"('cognitivescience', 'mentalimagery')",mental imagery,cognitive science,4,0,phd
"('cognitivescience', 'mentalimagery')",mental imagery,cognitive science,4,-1,expert
"('humeonreligion', 'philosophyofreligion')",hume on religion,philosophy of religion,4,0,phd
"('humeonreligion', 'philosophyofreligion')",hume on religion,philosophy of religion,4,0,phd
"('humeonreligion', 'philosophyofreligion')",hume on religion,philosophy of religion,4,0,phd
"('humeonreligion', 'philosophyofreligion')",hume on religion,philosophy of religion,4,0,expert
"('humeonreligion', 'philosophyofreligion')",hume on religion,philosophy of religion,4,0,expert
"('epistemology', 'justifiedtruebelief')",justified true belief,epistemology,4,0,phd
"('epistemology', 'justifiedtruebelief')",justified true belief,epistemology,4,0,expert
"('bioethics', 'cloning')",cloning,bioethics,4,0,phd
"('bioethics', 'cloning')",cloning,bioethics,4,0,expert
"('epistemology', 'knowledge')",knowledge,epistemology,4,3,phd
"('epistemology', 'knowledge')",knowledge,epistemology,4,-1,phd
"('epistemology', 'knowledge')",knowledge,epistemology,4,1,phd
"('epistemology', 'knowledge')",knowledge,epistemology,4,2,phd
"('epistemology', 'knowledge')",knowledge,epistemology,4,2,phd
"('epistemology', 'knowledge')",knowledge,epistemology,4,0,phd
"('epistemology', 'knowledge')",knowledge,epistemology,4,0,phd
"('epistemology', 'knowledge')",knowledge,epistemology,4,0,expert
"('epistemology', 'knowledge')",knowledge,epistemology,4,1,expert
"('civildisobedience', 'philosophyoflaw')",philosophy of law,civil disobedience,3,1,novice
"('civildisobedience', 'philosophyoflaw')",philosophy of law,civil disobedience,3,0,phd
"('emergence', 'panpsychism')",panpsychism,emergence,4,3,phd
"('emergence', 'panpsychism')",panpsychism,emergence,3,2,expert
"('kantsphilosophyofscience', 'metaphysics')",kant's philosophy of science,metaphysics,2,0,phd
"('kantsphilosophyofscience', 'metaphysics')",kant's philosophy of science,metaphysics,1,0,expert
"('historyoflogic', 'medievallogic')",medieval logic,history of logic,4,-1,novice
"('historyoflogic', 'medievallogic')",medieval logic,history of logic,4,0,phd
