key,ideaA,ideaB,humanRelatedness,humanGenerality
"('cognitivescience', 'metaphysicsofmind')",metaphysics of mind,cognitive science,4,2
"('cognitivescience', 'qualia')",qualia,cognitive science,4,2
"('cognitivescience', 'consciousnessandpsychology')",consciousness and psychology,cognitive science,4,3
"('cognitivescience', 'intentionalstance')",intentional stance,cognitive science,4,3
"('classicism', 'cognitivescience')",classicism,cognitive science,0,-1
"('cognitivescience', 'theoriesofmentalcontent')",theories of mental content,cognitive science,4,3
"('cognitivescience', 'consciousnessandintentionality')",consciousness and intentionality,cognitive science,4,3
"('cognitivescience', 'outputunit')",output unit,cognitive science,4,0
"('cognitivescience', 'diagrams')",diagrams,cognitive science,2,3
"('cognitivescience', 'symbolsystem')",symbol system,cognitive science,4,0
"('blindsight', 'cognitivescience')",blindsight,cognitive science,4,0
"('autism', 'folkpsychology')",autism,folk psychology,3,0
"('artificialintelligence', 'cognitivescience')",artificial intelligence,cognitive science,4,0
"('animalcognition', 'folkpsychology')",animal cognition,folk psychology,4,0
"('cognitivescience', 'irrealism')",irrealism,cognitive science,0,-1
"('cognitivescience', 'psychologicalrelation')",psychological relation,cognitive science,0,-1
"('cognitivescience', 'leibnizsphilosophyofmind')",leibniz's philosophy of mind,cognitive science,0,-1
"('cognitivescience', 'transcendentalarguments')",transcendental arguments,cognitive science,0,-1
"('cognitivescience', 'folkpsychologyasmentalsimulation')",folk psychology as mental simulation,cognitive science,4,0
"('cognitivescience', 'reductivematerialism')",reductive materialism,cognitive science,4,3
"('cognitivescience', 'nativism')",nativism,cognitive science,4,0
"('cognitivescience', 'semanticholism')",semantic holism,cognitive science,3,0
"('cognitivescience', 'meaningholism')",meaning holism,cognitive science,2,1
"('churchturingthesis', 'cognitivescience')",church-turing thesis,cognitive science,3,3
"('cognitivescience', 'intertheoryrelationsinphysics')",intertheory relations in physics,cognitive science,0,-1
"('statisticalmechanicsandthermodynamics', 'thermodynamicasymmetryintime')",thermodynamic asymmetry in time,statistical mechanics and thermodynamics,4,0
"('symmetryandinvariance', 'symmetryandsymmetrybreaking')",symmetry and symmetry breaking,symmetry and invariance,4,2
"('molecularbiology', 'philosophyofbiology')",molecular biology,philosophy of biology,4,0
"('conservationbiology', 'philosophyofbiology')",conservation biology,philosophy of biology,4,0
"('philosophyofbiology', 'teleologicaltheoriesofmentalcontent')",teleological theories of mental content,philosophy of biology,3,0
"('philosophyofbiology', 'scientificexplanation')",scientific explanation,philosophy of biology,2,3
"('creationism', 'philosophyofbiology')",creationism,philosophy of biology,3,3
"('gradualism', 'philosophyofbiology')",gradualism,philosophy of biology,4,0
"('animalbehavior', 'philosophyofbiology')",animal behavior,philosophy of biology,3,0
"('biologicalaltruism', 'philosophyofbiology')",biological altruism,philosophy of biology,4,0
"('idiolects', 'philosophyoflanguage')",idiolects,philosophy of language,2,0
"('logicandlanguage', 'philosophyoflanguage')",logic and language,philosophy of language,4,3
"('classicallogic', 'philosophyoflanguage')",classical logic,philosophy of language,2,3
"('languageofthoughthypothesis', 'philosophyoflanguage')",language of thought hypothesis,philosophy of language,3,3
"('firstordermodeltheory', 'philosophyoflanguage')",first-order model theory,philosophy of language,2,3
"('logicalform', 'philosophyoflanguage')",logical form,philosophy of language,4,0
"('consequencerelationsandalgebraiclogic', 'philosophyoflanguage')",consequence relations and algebraic logic,philosophy of language,1,3
"('modeltheory', 'philosophyoflanguage')",model theory,philosophy of language,3,3
"('philosophyoflanguage', 'semantics')",semantics,philosophy of language,4,0
"('compositionality', 'philosophyoflanguage')",compositionality,philosophy of language,4,0
"('philosophyoflanguage', 'pluralquantification')",plural quantification,philosophy of language,3,0
"('languagelearning', 'philosophyoflanguage')",language learning,philosophy of language,3,0
"('modallogic', 'philosophyoflanguage')",modal logic,philosophy of language,2,3
"('philosophyoflanguage', 'speakermeaning')",speaker meaning,philosophy of language,4,1
"('otherminds', 'philosophyofmind')",other minds,philosophy of mind,4,3
"('partsofspeech', 'wittgensteinsaesthetics')",wittgenstein's aesthetics,parts of speech,0,-1
"('existence', 'partsofspeech')",existence,parts of speech,0,-1
"('medievaltheoriesofsingularterms', 'partsofspeech')",medieval theories of singular terms,parts of speech,2,3
"('implicature', 'pragmatics')",implicature,pragmatics,4,0
"('artificialintelligence', 'logic')",logic,artificial intelligence,4,1
"('artificialintelligence', 'chineseroomargument')",chinese room argument,artificial intelligence,4,0
"('causation', 'probabilisticcausation')",probabilistic causation,causation,4,0
"('computerethics', 'ethics')",computer ethics,ethics,4,0
"('philosophyofmind', 'philosophyofphysics')",philosophy of physics,philosophy of mind,3,-1
"('metaphysicsofmind', 'panpsychism')",panpsychism,metaphysics of mind,3,0
"('malebranchestheoryofideasandvisioningod', 'philosophyofmind')",malebranche's theory of ideas and vision in god,philosophy of mind,2,-1
"('kantsviewofthemindandconsciousnessofself', 'philosophyofmind')",kant's view of the mind and consciousness of self,philosophy of mind,3,-1
"('medievalproblemofuniversals', 'philosophyofmind')",medieval problem of universals,philosophy of mind,2,-1
"('otherminds', 'philosophyofmind')",other minds,philosophy of mind,4,-1
"('consciousnessandintentionality', 'philosophyofmind')",consciousness and intentionality,philosophy of mind,4,-1
"('chineseroomargument', 'philosophyofmind')",chinese room argument,philosophy of mind,3,-1
"('18thcenturybritishaesthetics', 'philosophyofmind')",18th century british aesthetics,philosophy of mind,1,-1
"('leibnizsphilosophyofmind', 'philosophyofmind')",leibniz's philosophy of mind,philosophy of mind,2,-1
"('descartesmodalmetaphysics', 'philosophyofmind')",descartes' modal metaphysics,philosophy of mind,3,-1
"('mind', 'philosophyofmind')",mind,philosophy of mind,4,-1
"('panpsychism', 'philosophyofmind')",panpsychism,philosophy of mind,3,-1
"('aristotlespsychology', 'philosophyofmind')",aristotle's psychology,philosophy of mind,1,-1
"('descartesepistemology', 'philosophyofmind')",descartes' epistemology,philosophy of mind,3,-1
"('japanesezenbuddhistphilosophy', 'philosophyofmind')",japanese zen buddhist philosophy,philosophy of mind,1,-1
"('mentalrepresentationinmedievalphilosophy', 'philosophyofmind')",mental representation in medieval philosophy,philosophy of mind,2,-1
"('cognitivescience', 'philosophyofmind')",cognitive science,philosophy of mind,4,-1
"('folkpsychologyasatheory', 'philosophyofmind')",folk psychology as a theory,philosophy of mind,4,-1
"('computationaltheoryofmind', 'philosophyofmind')",computational theory of mind,philosophy of mind,4,-1
"('animalconsciousness', 'philosophyofmind')",animal consciousness,philosophy of mind,4,-1
"('matter', 'philosophyofmind')",matter,philosophy of mind,3,-1
"('mentalcausation', 'philosophyofmind')",mental causation,philosophy of mind,4,-1
"('philosophyofmind', 'scottishphilosophyinthe19thcentury')",scottish philosophy in the 19th century,philosophy of mind,2,-1
"('dualism', 'philosophyofmind')",dualism,philosophy of mind,4,-1
"('philosophyofmind', 'philosophyofpsychology')",philosophy of psychology,philosophy of mind,4,-1
"('consciousness', 'philosophyofmind')",consciousness,philosophy of mind,4,-1
"('philosophyofmind', 'psychiatry')",psychiatry,philosophy of mind,4,-1
"('philosophiesoftheparticularsciences', 'philosophyofmind')",philosophies of the particular sciences,philosophy of mind,3,-1
"('folkpsychology', 'philosophyofmind')",folk psychology,philosophy of mind,4,-1
"('ideas', 'philosophyofmind')",ideas,philosophy of mind,3,-1
"('philosophyofmind', 'philosophyofphysics')",philosophy of physics,philosophy of mind,1,-1
"('eliminativematerialism', 'philosophyofmind')",eliminative materialism,philosophy of mind,4,-1
"('epistemologicalproblemsofmemory', 'philosophyofmind')",epistemological problems of memory,philosophy of mind,3,-1
"('philosophyofmind', 'teleologicalargumentsforgodsexistence')",teleological arguments for god's existence,philosophy of mind,1,-1
"('mentalrepresentation', 'philosophyofmind')",mental representation,philosophy of mind,4,-1
"('ancienttheoriesofsoul', 'philosophyofmind')",ancient theories of soul,philosophy of mind,2,-1
"('metaphysicsofmind', 'philosophyofmind')",metaphysics of mind,philosophy of mind,4,-1
"('philosophyofmind', 'syntacticanalysis')",syntactic analysis,philosophy of mind,2,-1
"('philosophyofmind', 'spinozaspsychologicaltheory')",spinoza's psychological theory,philosophy of mind,2,-1
"('philosophyofmind', 'philosophyofnature')",philosophy of nature,philosophy of mind,2,-1
"('20thcenturycontinentalphilosophy', 'philosophyofmind')",20th century continental philosophy,philosophy of mind,3,-1
"('originofaesthetic', 'philosophyofmind')",origin of aesthetic,philosophy of mind,2,-1
"('cartesiandualism', 'philosophyofmind')",cartesian dualism,philosophy of mind,4,-1
"('greatapes', 'philosophyofmind')",great apes,philosophy of mind,3,-1
"('modularityofmind', 'philosophyofmind')",modularity of mind,philosophy of mind,4,-1
"('philosophyofmind', 'probabilityandstatistics')",probability and statistics,philosophy of mind,1,-1
"('everettsrelativestateformulationofquantummechanics', 'philosophyofmind')",everett's relative-state formulation of quantum mechanics,philosophy of mind,1,-1
"('intentionality', 'philosophyofmind')",intentionality,philosophy of mind,4,-1
"('body', 'philosophyofmind')",body,philosophy of mind,3,-1
"('aspectsofmind', 'philosophyofmind')",aspects of mind,philosophy of mind,4,-1
"('philosophyofmind', 'propositionalattitude')",propositional attitude,philosophy of mind,4,-1
"('perception', 'philosophyofmind')",perception,philosophy of mind,4,-1
"('philosophyofchemistry', 'philosophyofmind')",philosophy of chemistry,philosophy of mind,0,-1
"('philosophyofmind', 'philosophyofperception')",philosophy of perception,philosophy of mind,4,-1
"('abstractobject', 'philosophyofmind')",abstract object,philosophy of mind,2,-1
"('philosophyofmind', 'sensedata')",sense-data,philosophy of mind,4,-1
"('philosophyofmind', 'unityofconsciousness')",unity of consciousness,philosophy of mind,3,-1
"('ancientphilosophyaristotle', 'philosophyofmind')",ancient philosophy (aristotle),philosophy of mind,1,-1
"('existence', 'philosophyofmind')",existence,philosophy of mind,1,-1
"('koreanphilosophy', 'philosophyofmind')",korean philosophy,philosophy of mind,1,-1
"('philosophyofmind', 'propernames')",proper names,philosophy of mind,1,-1
"('consciousnessandcontent', 'philosophyofmind')",consciousness and content,philosophy of mind,4,-1
"('philosophyofmind', 'realismandantirealism')",realism and anti-realism,philosophy of mind,2,-1
"('internalismandexternalism', 'philosophyofmind')",internalism and externalism,philosophy of mind,4,-1
"('nonhumananimals', 'philosophyofmind')",nonhuman animals,philosophy of mind,3,-1
"('philosophyofmind', 'realismandantirealism')",realism and anti-realism,philosophy of mind,2,-1
"('philosophyofmind', 'sensedata')",sense data,philosophy of mind,4,-1
"('philosophyofmind', 'universals')",universals,philosophy of mind,3,-1
"('philosophyofmind', 'problemofperception')",problem of perception,philosophy of mind,4,-1
"('externalism', 'philosophyofmind')",externalism,philosophy of mind,4,-1
"('induction', 'philosophyofmind')",induction,philosophy of mind,2,-1
"('artificialintelligence', 'philosophyofmind')",artificial intelligence,philosophy of mind,3,-1
"('consciousnessandpsychology', 'philosophyofmind')",consciousness and psychology,philosophy of mind,4,-1
"('mentalcontent', 'philosophyofmind')",mental content,philosophy of mind,4,-1
"('philosophyofmind', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of mind,2,-1
"('philosophyofcomputerscience', 'philosophyofmind')",philosophy of computer science,philosophy of mind,2,-1
"('philosophyofbiology', 'philosophyofmind')",philosophy of biology,philosophy of mind,2,-1
"('interactionism', 'philosophyofmind')",interactionism,philosophy of mind,4,-1
"('mentalstate', 'philosophyofmind')",mental state,philosophy of mind,4,-1
"('modularity', 'philosophyofmind')",modularity,philosophy of mind,4,-1
"('philosophyofart', 'philosophyofmind')",philosophy of art,philosophy of mind,1,-1
"('philosophyofmind', 'symbolicprocessing')",symbolic processing,philosophy of mind,3,-1
"('philosophyofmind', 'realism')",realism,philosophy of mind,3,-1
"('modernphilosophy', 'philosophyofmind')",modern philosophy,philosophy of mind,3,-1
"('epistemologicalproblemsofperception', 'philosophyofmind')",epistemological problems of perception,philosophy of mind,4,-1
"('computationandrepresentation', 'philosophyofmind')",computation and representation,philosophy of mind,4,-1
"('introspection', 'philosophyofmind')",introspection,philosophy of mind,4,-1
"('mindbodyproblem', 'philosophyofmind')",mind-body problem,philosophy of mind,4,-1
"('imagery', 'philosophyofmind')",imagery,philosophy of mind,3,-1
"('digitalphilosophy', 'philosophyofmind')",digital philosophy,philosophy of mind,2,-1
"('philosophyofmind', 'simulationtheory')",simulation theory,philosophy of mind,4,-1
"('mathematicallogic', 'philosophyofmind')",mathematical logic,philosophy of mind,2,-1
"('internalism', 'philosophyofmind')",internalism,philosophy of mind,4,-1
"('philosophyofmind', 'virtuesandvices')",virtues and vices,philosophy of mind,2,-1
"('epistemology', 'socialepistemology')",social epistemology,epistemology,4,0
"('artificialintelligence', 'logicandartificialintelligence')",logic and artificial intelligence,artificial intelligence,4,-1
"('artificialintelligence', 'turingtest')",turing test,artificial intelligence,4,-1
"('artificialintelligence', 'frameproblem')",frame problem,artificial intelligence,4,-1
"('artificialintelligence', 'logicandcomputation')",logic and computation,artificial intelligence,4,-1
"('artificialintelligence', 'manyvaluedlogic')",many-valued logic,artificial intelligence,3,-1
"('artificialintelligence', 'philosophyofcomputerscience')",philosophy of computer science,artificial intelligence,4,-1
"('artificialintelligence', 'symbolicprocessing')",symbolic processing,artificial intelligence,4,-1
"('artificialintelligence', 'distributedrepresentation')",distributed representation,artificial intelligence,4,-1
"('artificialintelligence', 'temporallogic')",temporal logic,artificial intelligence,3,-1
"('artificialintelligence', 'logicandlanguage')",logic and language,artificial intelligence,4,-1
"('artificialintelligence', 'dynamiclogic')",dynamic logic,artificial intelligence,4,-1
"('artificialintelligence', 'chineseroomargument')",chinese room argument,artificial intelligence,4,-1
"('activationvalue', 'artificialintelligence')",activation value,artificial intelligence,3,-1
"('artificialintelligence', 'inputunit')",input unit,artificial intelligence,4,-1
"('artificialintelligence', 'outputunit')",output unit,artificial intelligence,4,-1
"('artificialintelligence', 'modernhistoryofcomputing')",modern history of computing,artificial intelligence,3,-1
"('artificialintelligence', 'leibnizsphilosophyofmind')",leibniz's philosophy of mind,artificial intelligence,2,-1
"('artificialintelligence', 'computationandrepresentation')",computation and representation,artificial intelligence,4,-1
"('artificialintelligence', 'computationaltheoryofmind')",computational theory of mind,artificial intelligence,4,-1
"('artificialintelligence', 'computation')",computation,artificial intelligence,4,-1
"('artificialintelligence', 'informallogic')",informal logic,artificial intelligence,3,-1
"('artificialintelligence', 'connectionistmodel')",connectionist model,artificial intelligence,4,-1
"('artificialintelligence', 'thinkingmachine')",thinking machine,artificial intelligence,4,-1
"('artificialintelligence', 'folkpsychology')",folk psychology,artificial intelligence,3,-1
"('artificialintelligence', 'turingmachine')",turing machine,artificial intelligence,4,-1
"('artificialintelligence', 'mentalimagery')",mental imagery,artificial intelligence,3,-1
"('artificialintelligence', 'logicalbehaviorism')",logical behaviorism,artificial intelligence,3,-1
"('artificialintelligence', 'logicofconditionals')",logic of conditionals,artificial intelligence,3,-1
"('artificialintelligence', 'connectionism')",connectionism,artificial intelligence,4,-1
"('artificialintelligence', 'cognitivescience')",cognitive science,artificial intelligence,4,-1
"('artificialintelligence', 'prooftheory')",proof theory,artificial intelligence,4,-1
"('artificialintelligence', 'epistemiclogic')",epistemic logic,artificial intelligence,3,-1
"('artificialintelligence', 'nonclassicallogic')",non-classical logic,artificial intelligence,3,-1
"('absentqualia', 'artificialintelligence')",absent qualia,artificial intelligence,4,-1
"('artificialintelligence', 'booleanalgebra')",boolean algebra,artificial intelligence,3,-1
"('artificialintelligence', 'speakermeaning')",speaker meaning,artificial intelligence,3,-1
"('artificialintelligence', 'mentalese')",mentalese,artificial intelligence,3,-1
"('artificialintelligence', 'modularity')",modularity,artificial intelligence,3,-1
"('artificialintelligence', 'neuralnetwork')",neural network,artificial intelligence,4,-1
"('19thcenturyphilosophy', 'artificialintelligence')",19th century philosophy,artificial intelligence,2,-1
"('artificialintelligence', 'churchturingthesis')",church-turing thesis,artificial intelligence,4,-1
"('artificialintelligence', 'modallogic')",modal logic,artificial intelligence,3,-1
"('artificialintelligence', 'networkmodel')",network model,artificial intelligence,4,-1
"('artificialintelligence', 'classicallogic')",classical logic,artificial intelligence,3,-1
"('artificialintelligence', 'chauvinism')",chauvinism,artificial intelligence,1,-1
"('artificialintelligence', 'quantumcomputing')",quantum computing,artificial intelligence,3,-1
"('artificialintelligence', 'deonticlogic')",deontic logic,artificial intelligence,3,-1
"('artificialintelligence', 'classicism')",classicism,artificial intelligence,3,-1
"('artificialintelligence', 'probabilisticcausation')",probabilistic causation,artificial intelligence,2,-1
"('artificialintelligence', 'psychologicaltheory')",psychological theory,artificial intelligence,4,-1
"('artificialintelligence', 'dynamicalsystem')",dynamical system,artificial intelligence,3,-1
"('artificialintelligence', 'humanintelligence')",human intelligence,artificial intelligence,4,-1
"('artificialintelligence', 'intuitionisticlogic')",intuitionistic logic,artificial intelligence,3,-1
"('artificialintelligence', 'eliminativematerialism')",eliminative materialism,artificial intelligence,4,-1
"('artificialintelligence', 'explanatorygap')",explanatory gap,artificial intelligence,4,-1
"('artificialintelligence', 'causalprocesses')",causal processes,artificial intelligence,3,-1
"('artificialintelligence', 'multiplerealizability')",multiple realizability,artificial intelligence,4,-1
"('artificialintelligence', 'qualia')",qualia,artificial intelligence,4,-1
"('artificialintelligence', 'inductivelogic')",inductive logic,artificial intelligence,4,-1
"('artificialintelligence', 'consciousnessandscience')",consciousness and science,artificial intelligence,4,-1
"('artificialintelligence', 'relevancelogic')",relevance logic,artificial intelligence,3,-1
"('artificialintelligence', 'digitalphilosophy')",digital philosophy,artificial intelligence,3,-1
"('artificialintelligence', 'logicism')",logicism,artificial intelligence,3,-1
"('artificialintelligence', 'semantictheories')",semantic theories,artificial intelligence,4,-1
"('artificialintelligence', 'phenomenalconsciousness')",phenomenal consciousness,artificial intelligence,4,-1
"('artificialintelligence', 'languageofthoughthypothesis')",language of thought hypothesis,artificial intelligence,4,-1
"('artificialintelligence', 'commonknowledge')",common knowledge,artificial intelligence,3,-1
"('artificialintelligence', 'molecularbiology')",molecular biology,artificial intelligence,2,-1
"('artificialintelligence', 'modeltheory')",model theory,artificial intelligence,3,-1
"('artificialintelligence', 'solipsism')",solipsism,artificial intelligence,3,-1
"('artificialintelligence', 'deductivereasoning')",deductive reasoning,artificial intelligence,4,-1
"('artificialintelligence', 'symbolsystem')",symbol system,artificial intelligence,4,-1
"('algebra', 'artificialintelligence')",algebra,artificial intelligence,2,-1
"('artificialintelligence', 'cartesiandualism')",cartesian dualism,artificial intelligence,3,-1
"('artificialintelligence', 'probability')",probability,artificial intelligence,3,-1
"('artificialintelligence', 'polishphilosophy')",polish philosophy,artificial intelligence,1,-1
"('artificialintelligence', 'mathematicallogic')",mathematical logic,artificial intelligence,3,-1
"('artificialintelligence', 'selfdeception')",self-deception,artificial intelligence,2,-1
"('artificialintelligence', 'philosophyofneuroscience')",philosophy of neuroscience,artificial intelligence,2,-1
"('artificialintelligence', 'humancognition')",human cognition,artificial intelligence,4,-1
"('artificialintelligence', 'implicature')",implicature,artificial intelligence,2,-1
"('artificialintelligence', 'logicalconstant')",logical constant,artificial intelligence,3,-1
"('artificialintelligence', 'representationalism')",representationalism,artificial intelligence,4,-1
"('artificialintelligence', 'settheory')",set theory,artificial intelligence,3,-1
"('artificialintelligence', 'replication')",replication,artificial intelligence,3,-1
"('artificialintelligence', 'moralpsychology')",moral psychology,artificial intelligence,3,-1
"('artificialintelligence', 'logicaltruth')",logical truth,artificial intelligence,3,-1
"('artificialintelligence', 'gametheory')",game theory,artificial intelligence,3,-1
"('artificialintelligence', 'scienceandsociety')",science and society,artificial intelligence,4,-1
"('artificialintelligence', 'scientificexplanation')",scientific explanation,artificial intelligence,3,-1
"('artificialintelligence', 'connectives')",connectives,artificial intelligence,3,-1
"('artificialintelligence', 'speechact')",speech act,artificial intelligence,3,-1
"('artificialintelligence', 'existentialism')",existentialism,artificial intelligence,2,-1
"('artificialintelligence', 'decisiontheory')",decision theory,artificial intelligence,3,-1
"('artificialintelligence', 'denotation')",denotation,artificial intelligence,4,-1
"('artificialintelligence', 'russianphilosophy')",russian philosophy,artificial intelligence,1,-1
"('ancientphilosophy', 'artificialintelligence')",ancient philosophy,artificial intelligence,1,-1
"('artificialintelligence', 'privacy')",privacy,artificial intelligence,2,-1
"('artificialintelligence', 'computing')",computing,artificial intelligence,4,-1
"('cognitivescience', 'mentalimagery')",mental imagery,cognitive science,4,-1
"('cognitivescience', 'computationandrepresentation')",computation and representation,cognitive science,4,-1
"('cognitivescience', 'symbolicprocessing')",symbolic processing,cognitive science,4,-1
"('cognitivescience', 'kantsviewofthemindandconsciousnessofself')",kant's view of the mind and consciousness of self,cognitive science,2,-1
"('cognitivescience', 'folkpsychology')",folk psychology,cognitive science,4,-1
"('cognitivescience', 'connectionistmodel')",connectionist model,cognitive science,4,-1
"('cognitivescience', 'connectionism')",connectionism,cognitive science,4,-1
"('cognitivescience', 'externalismaboutmentalcontent')",externalism about mental content,cognitive science,3,-1
"('cognitivescience', 'neuralnetwork')",neural network,cognitive science,4,-1
"('cognitivescience', 'philosophyofscience')",philosophy of science,cognitive science,3,-1
"('cognitivescience', 'computationalism')",computationalism,cognitive science,4,-1
"('animalcognition', 'cognitivescience')",animal cognition,cognitive science,4,-1
"('cognitivescience', 'teleologicaltheoriesofmentalcontent')",teleological theories of mental content,cognitive science,3,-1
"('cognitivescience', 'philosophyofcomputerscience')",philosophy of computer science,cognitive science,4,-1
"('cognitivescience', 'distributedrepresentation')",distributed representation,cognitive science,4,-1
"('cognitivescience', 'computationaltheoryofmind')",computational theory of mind,cognitive science,4,-1
"('cognitivescience', 'consciousnessandmentalcontent')",consciousness and mental content,cognitive science,4,-1
"('cognitivescience', 'intertheoryrelations')",intertheory relations,cognitive science,3,-1
"('cognitivescience', 'philosophyofneuroscience')",philosophy of neuroscience,cognitive science,4,-1
"('cognitivescience', 'psychiatry')",psychiatry,cognitive science,3,-1
"('cognitivescience', 'logicandcomputation')",logic and computation,cognitive science,4,-1
"('cognitivescience', 'phenomenalconsciousness')",phenomenal consciousness,cognitive science,4,-1
"('cognitivescience', 'intentionalstance')",intentional stance,cognitive science,4,-1
"('cognitivescience', 'ordinarylanguagephilosophy')",ordinary language philosophy,cognitive science,2,-1
"('chineseroomargument', 'cognitivescience')",chinese room argument,cognitive science,4,-1
"('causaltheoriesofmentalcontent', 'cognitivescience')",causal theories of mental content,cognitive science,3,-1
"('cognitivescience', 'metaphysicsofmind')",metaphysics of mind,cognitive science,3,-1
"('cognitivescience', 'mentalese')",mentalese,cognitive science,4,-1
"('cognitivescience', 'philosophyofpsychology')",philosophy of psychology,cognitive science,4,-1
"('cognitivescience', 'qualia')",qualia,cognitive science,3,-1
"('cognitivescience', 'thetheorytheory')",the theory theory,cognitive science,4,-1
"('cognitivescience', 'consciousnessandcontent')",consciousness and content,cognitive science,4,-1
"('blindsight', 'cognitivescience')",blindsight,cognitive science,4,-1
"('cognitivescience', 'teleosemantics')",teleosemantics,cognitive science,3,-1
"('cognitivescience', 'newtonianism')",newtonianism,cognitive science,2,-1
"('cognitivescience', 'dynamicalsystem')",dynamical system,cognitive science,4,-1
"('cognitivescience', 'theoriesofmentalcontent')",theories of mental content,cognitive science,3,-1
"('cognitivescience', 'psychologicalrelation')",psychological relation,cognitive science,4,-1
"('cognitivescience', 'performance')",performance,cognitive science,4,-1
"('cognitivescience', 'consciousnessandintentionality')",consciousness and intentionality,cognitive science,4,-1
"('cognitivescience', 'consciousnessandpsychology')",consciousness and psychology,cognitive science,4,-1
"('artificialintelligence', 'cognitivescience')",artificial intelligence,cognitive science,4,-1
"('cognitivescience', 'nonconceptualcontent')",non-conceptual content,cognitive science,4,-1
"('cognitivescience', 'languageofthoughthypothesis')",language of thought hypothesis,cognitive science,4,-1
"('cognitivescience', 'philosophyofaction')",philosophy of action,cognitive science,3,-1
"('cognitivescience', 'folkpsychologyasmentalsimulation')",folk psychology as mental simulation,cognitive science,4,-1
"('cognitivescience', 'semanticconceptionsofinformation')",semantic conceptions of information,cognitive science,4,-1
"('cognitivescience', 'reductivematerialism')",reductive materialism,cognitive science,4,-1
"('cognitivescience', 'scientifictheory')",scientific theory,cognitive science,4,-1
"('cognitivescience', 'nativism')",nativism,cognitive science,4,-1
"('cognitivescience', 'speakermeaning')",speaker meaning,cognitive science,3,-1
"('cognitivescience', 'languagelearning')",language learning,cognitive science,4,-1
"('cognitivescience', 'quantumcomputing')",quantum computing,cognitive science,3,-1
"('cognitivescience', 'intertheoryrelationsinphysics')",intertheory relations in physics,cognitive science,3,-1
"('cognitivescience', 'meaningholism')",meaning holism,cognitive science,4,-1
"('cognitivescience', 'evolutionarypsychology')",evolutionary psychology,cognitive science,3,-1
"('classicism', 'cognitivescience')",classicism,cognitive science,4,-1
"('cognitivescience', 'higherordertheoriesofconsciousness')",higher-order theories of consciousness,cognitive science,4,-1
"('cognitivescience', 'materialism')",materialism,cognitive science,4,-1
"('cognitivescience', 'simulationtheory')",simulation theory,cognitive science,3,-1
"('cognitivescience', 'nonhumananimals')",nonhuman animals,cognitive science,3,-1
"('cognitivescience', 'nonconceptualmentalcontent')",nonconceptual mental content,cognitive science,3,-1
"('cognitivescience', 'falsificationism')",falsificationism,cognitive science,2,-1
"('cognitivescience', 'emergentproperties')",emergent properties,cognitive science,4,-1
"('cognitivescience', 'transcendentalarguments')",transcendental arguments,cognitive science,1,-1
"('cognitivescience', 'modeltheory')",model theory,cognitive science,3,-1
"('cognitivescience', 'pinealgland')",pineal gland,cognitive science,2,-1
