key,ideaA,ideaB,num_levels,levels,has_amateur,has_course_taker,has_phd_student,has_expert
"('philosophyofscienceandthesciences', 'probabilityandstatistics')",philosophy of science and the sciences,probability and statistics,3,"amateur, phd_student, expert",True,False,True,True
"('artificialintelligence', 'logic')",artificial intelligence,logic,3,"course_taker, phd_student, expert",False,True,True,True
"('bioethics', 'biomedicalethics')",biomedical ethics,bioethics,2,"phd_student, expert",False,False,True,True
"('mentalcontent', 'representation')",representation,mental content,2,"phd_student, expert",False,False,True,True
"('cognitivescience', 'folkpsychology')",folk psychology,cognitive science,2,"phd_student, expert",False,False,True,True
"('aristotleonnoncontradiction', 'perception')",aristotle on non-contradiction,perception,2,"phd_student, expert",False,False,True,True
"('epistemology', 'socialphilosophyandpoliticalphilosophy')",social philosophy and political philosophy,epistemology,2,"phd_student, expert",False,False,True,True
"('epistemology', 'realism')",realism,epistemology,2,"phd_student, expert",False,False,True,True
"('epistemology', 'philosophiesoftheparticularsciences')",philosophies of the particular sciences,epistemology,2,"phd_student, expert",False,False,True,True
"('metaphysics', 'realismandantirealism')",realism and anti-realism,metaphysics,2,"phd_student, expert",False,False,True,True
"('einsteinsphilosophyofscience', 'philosophyofscienceandthesciences')",einstein's philosophy of science,philosophy of science and the sciences,2,"phd_student, expert",False,False,True,True
"('medievaltheoriesofrelations', 'metaphysics')",medieval theories of relations,metaphysics,2,"phd_student, expert",False,False,True,True
"('epistemology', 'probability')",probability,epistemology,2,"phd_student, expert",False,False,True,True
"('epistemologicalproblemsoftestimony', 'epistemology')",epistemological problems of testimony,epistemology,2,"phd_student, expert",False,False,True,True
"('epistemology', 'reliabilism')",reliabilism,epistemology,2,"phd_student, expert",False,False,True,True
"('connectionism', 'connectionistmodel')",connectionism,connectionist model,2,"course_taker, phd_student",False,True,True,False
"('japanesezenbuddhistphilosophy', 'philosophyofmind')",japanese zen buddhist philosophy,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('autism', 'perception')",autism,perception,2,"phd_student, expert",False,False,True,True
"('internalismandexternalism', 'philosophyofmind')",internalism and externalism,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('knowledge', 'rationalismvsempiricism')",rationalism vs. empiricism,knowledge,2,"phd_student, expert",False,False,True,True
"('higherordertheoriesofconsciousness', 'perception')",higher-order theories of consciousness,perception,2,"phd_student, expert",False,False,True,True
"('artisticrepresentation', 'perception')",artistic representation,perception,2,"phd_student, expert",False,False,True,True
"('chineseandwestern', 'chinesephilosophy')",chinese and western,chinese philosophy,2,"amateur, expert",True,False,False,True
"('philosophyofcomputerscience', 'philosophyofmathematics')",philosophy of computer science,philosophy of mathematics,2,"course_taker, phd_student",False,True,True,False
"('epistemologicalproblemsoftestimony', 'perception')",epistemological problems of testimony,perception,2,"phd_student, expert",False,False,True,True
"('everettsrelativestateformulationofquantummechanics', 'philosophyofmind')",everett's relative-state formulation of quantum mechanics,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('consciousness', 'unityofconsciousness')",unity of consciousness,consciousness,2,"phd_student, expert",False,False,True,True
"('foreknowledgeandfreewill', 'freewill')",foreknowledge and free will,free will,2,"phd_student, expert",False,False,True,True
"('aristotleslogic', 'metaphysics')",aristotle's logic,metaphysics,2,"phd_student, expert",False,False,True,True
"('intentionality', 'perception')",intentionality,perception,2,"phd_student, expert",False,False,True,True
"('philosophyandchristiantheology', 'philosophyofreligion')",philosophy and christian theology,philosophy of religion,2,"phd_student, expert",False,False,True,True
"('computationallinguistics', 'perception')",computational linguistics,perception,2,"phd_student, expert",False,False,True,True
"('metaphysics', 'naturaltheology')",natural theology,metaphysics,2,"phd_student, expert",False,False,True,True
"('artificialintelligence', 'outputunit')",output unit,artificial intelligence,2,"phd_student, expert",False,False,True,True
"('externalism', 'philosophyofmind')",externalism,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('philosophyoflanguage', 'sentence')",sentence,philosophy of language,2,"phd_student, expert",False,False,True,True
"('perception', 'selfknowledge')",self-knowledge,perception,2,"phd_student, expert",False,False,True,True
"('continuant', 'metaphysics')",continuant,metaphysics,2,"phd_student, expert",False,False,True,True
"('matter', 'philosophyofreligion')",matter,philosophy of religion,2,"phd_student, expert",False,False,True,True
"('metaphysics', 'philosophyofart')",philosophy of art,metaphysics,2,"phd_student, expert",False,False,True,True
"('philosophyofscience', 'philosophyofsocialscience')",philosophy of social science,philosophy of science,2,"phd_student, expert",False,False,True,True
"('aesthetics', 'aestheticsandphilosophyofart')",aesthetics,aesthetics and philosophy of art,2,"phd_student, expert",False,False,True,True
"('epistemology', 'probabilityandstatistics')",probability and statistics,epistemology,2,"phd_student, expert",False,False,True,True
"('essenceandexistence', 'existence')",essence and existence,existence,2,"phd_student, expert",False,False,True,True
"('epistemology', 'foundationalism')",foundationalism,epistemology,2,"phd_student, expert",False,False,True,True
"('body', 'philosophyofmind')",body,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('philosophyofcomputerscience', 'philosophyofscience')",philosophy of computer science,philosophy of science,2,"course_taker, phd_student",False,True,True,False
"('causalprocesses', 'causation')",causal processes,causation,2,"phd_student, expert",False,False,True,True
"('ethics', 'gametheoryinethics')",game theory in ethics,ethics,2,"phd_student, expert",False,False,True,True
"('cognitivescience', 'kantsviewofthemindandconsciousnessofself')",kant's view of the mind and consciousness of self,cognitive science,2,"phd_student, expert",False,False,True,True
"('metaphysics', 'realism')",realism,metaphysics,2,"phd_student, expert",False,False,True,True
"('perception', 'sensedata')",sense-data,perception,2,"phd_student, expert",False,False,True,True
"('continentalphilosophy', 'philosophyofhistory')",philosophy of history,continental philosophy,2,"phd_student, expert",False,False,True,True
"('cognitivescience', 'mentalimagery')",mental imagery,cognitive science,2,"phd_student, expert",False,False,True,True
"('humeonreligion', 'philosophyofreligion')",hume on religion,philosophy of religion,2,"phd_student, expert",False,False,True,True
"('epistemology', 'justifiedtruebelief')",justified true belief,epistemology,2,"phd_student, expert",False,False,True,True
"('bioethics', 'cloning')",cloning,bioethics,2,"phd_student, expert",False,False,True,True
"('epistemology', 'knowledge')",knowledge,epistemology,2,"phd_student, expert",False,False,True,True
"('civildisobedience', 'philosophyoflaw')",philosophy of law,civil disobedience,2,"amateur, phd_student",True,False,True,False
"('emergence', 'panpsychism')",panpsychism,emergence,2,"phd_student, expert",False,False,True,True
"('kantsphilosophyofscience', 'metaphysics')",kant's philosophy of science,metaphysics,2,"phd_student, expert",False,False,True,True
"('historyoflogic', 'medievallogic')",medieval logic,history of logic,2,"amateur, phd_student",True,False,True,False
"('idiolects', 'philosophyoflanguage')",idiolects,philosophy of language,2,"phd_student, expert",False,False,True,True
"('divineillumination', 'philosophyofmind')",divine illumination,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('consciousness', 'consciousnessandintentionality')",consciousness and intentionality,consciousness,2,"phd_student, expert",False,False,True,True
"('ethnocentrism', 'philosophyofreligion')",ethnocentrism,philosophy of religion,2,"phd_student, expert",False,False,True,True
"('foundationalism', 'skepticism')",foundationalism,skepticism,2,"phd_student, expert",False,False,True,True
"('folkpsychology', 'philosophyofmind')",folk psychology,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('perception', 'qualia')",qualia,perception,2,"phd_student, expert",False,False,True,True
"('metaphysics', 'motionandtime')",motion and time,metaphysics,2,"phd_student, expert",False,False,True,True
"('metaphysics', 'naturalphilosophy')",natural philosophy,metaphysics,2,"phd_student, expert",False,False,True,True
"('pantheism', 'philosophyofreligion')",pantheism,philosophy of religion,2,"phd_student, expert",False,False,True,True
"('epistemology', 'naturalizedepistemology')",naturalized epistemology,epistemology,2,"phd_student, expert",False,False,True,True
"('logos', 'perception')",logos,perception,2,"phd_student, expert",False,False,True,True
"('analyticfeminism', 'metaphysics')",analytic feminism,metaphysics,2,"phd_student, expert",False,False,True,True
"('chinesephilosophy', 'chinesewesterncomparativephilosophy')",chinese-western comparative philosophy,chinese philosophy,2,"phd_student, expert",False,False,True,True
"('koreanphilosophy', 'perception')",korean philosophy,perception,2,"phd_student, expert",False,False,True,True
"('originofaesthetic', 'philosophyofmind')",origin of aesthetic,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('connectionism', 'trainingset')",connectionism,training set,2,"course_taker, phd_student",False,True,True,False
"('evolution', 'unitsandlevelsofselection')",units and levels of selection,evolution,2,"phd_student, expert",False,False,True,True
"('consciousness', 'consciousnessandcontent')",consciousness and content,consciousness,2,"phd_student, expert",False,False,True,True
"('perception', 'philosophyofphysics')",philosophy of physics,perception,2,"phd_student, expert",False,False,True,True
"('dynamicalsystem', 'supertasks')",supertasks,dynamical system,2,"phd_student, expert",False,False,True,True
"('modularity', 'philosophyofmind')",modularity,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('logic', 'philosophyofmathematics')",logic,philosophy of mathematics,2,"course_taker, phd_student",False,True,True,False
"('defeasiblereasoning', 'epistemology')",defeasible reasoning,epistemology,2,"phd_student, expert",False,False,True,True
"('descartesontologicalargument', 'perception')",descartes' ontological argument,perception,2,"phd_student, expert",False,False,True,True
"('bioethics', 'feministbioethics')",feminist bioethics,bioethics,2,"phd_student, expert",False,False,True,True
"('justifiedtruebelief', 'perception')",justified true belief,perception,2,"phd_student, expert",False,False,True,True
"('philosophyofreligion', 'polytheism')",polytheism,philosophy of religion,2,"phd_student, expert",False,False,True,True
"('philosophyofmind', 'philosophyofpsychology')",philosophy of psychology,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('metaphysics', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,metaphysics,2,"phd_student, expert",False,False,True,True
"('consciousness', 'phenomenalconsciousness')",phenomenal consciousness,consciousness,2,"phd_student, expert",False,False,True,True
"('artificialintelligence', 'logicandcomputation')",logic and computation,artificial intelligence,2,"phd_student, expert",False,False,True,True
"('analysis', 'philosophyofmathematics')",analysis,philosophy of mathematics,2,"phd_student, expert",False,False,True,True
"('metaphysics', 'principleofsufficientreason')",principle of sufficient reason,metaphysics,2,"phd_student, expert",False,False,True,True
"('perception', 'unityofconsciousness')",unity of consciousness,perception,2,"phd_student, expert",False,False,True,True
"('meaning', 'metaphysics')",meaning,metaphysics,2,"phd_student, expert",False,False,True,True
"('philosophiesoftheparticularsciences', 'philosophyofscienceandthesciences')",philosophies of the particular sciences,philosophy of science and the sciences,2,"phd_student, expert",False,False,True,True
"('metaphysics', 'mind')",mind,metaphysics,2,"phd_student, expert",False,False,True,True
"('epistemology', 'propernames')",proper names,epistemology,2,"phd_student, expert",False,False,True,True
"('metaphysics', 'simultaneity')",simultaneity,metaphysics,2,"phd_student, expert",False,False,True,True
"('philosophyofmathematics', 'settheory')",philosophy of mathematics,set theory,2,"phd_student, expert",False,False,True,True
"('historyoflogic', 'medievaltheoriesofthesyllogism')",medieval theories of the syllogism,history of logic,2,"amateur, phd_student",True,False,True,False
"('metaphysicsofmind', 'panpsychism')",panpsychism,metaphysics of mind,2,"phd_student, expert",False,False,True,True
"('philosophyofmind', 'symbolicprocessing')",symbolic processing,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('modernphilosophy', 'philosophyofmind')",modern philosophy,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('chineseroomargument', 'cognitivescience')",chinese room argument,cognitive science,2,"phd_student, expert",False,False,True,True
"('arabicphilosophyandislamicphilosophy', 'metaphysics')",arabic philosophy and islamic philosophy,metaphysics,2,"phd_student, expert",False,False,True,True
"('consciousness', 'higherordertheoriesofconsciousness')",higher-order theories of consciousness,consciousness,2,"phd_student, expert",False,False,True,True
"('afterlife', 'meaningoflife')",meaning of life,afterlife,2,"phd_student, expert",False,False,True,True
"('philosophyofmind', 'syntacticanalysis')",syntactic analysis,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('metaphysics', 'universals')",universals,metaphysics,2,"phd_student, expert",False,False,True,True
"('epistemology', 'matter')",matter,epistemology,2,"phd_student, expert",False,False,True,True
"('philosophyofreligion', 'religiousexperience')",philosophy of religion,religious experience,2,"course_taker, expert",False,True,False,True
"('interpretation', 'judaicphilosophy')",judaic philosophy,interpretation,2,"course_taker, expert",False,True,False,True
"('epistemology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,epistemology,2,"phd_student, expert",False,False,True,True
"('causeandeffect', 'perception')",cause and effect,perception,2,"phd_student, expert",False,False,True,True
"('chinesephilosophy', 'westernphilosophy')",western philosophy,chinese philosophy,2,"phd_student, expert",False,False,True,True
"('naturallaw', 'philosophyoflaw')",natural law,philosophy of law,2,"phd_student, expert",False,False,True,True
"('chinesephilosophy', 'zenbuddhism')",zen buddhism,chinese philosophy,2,"phd_student, expert",False,False,True,True
"('metaphysics', 'metaphysicsofscience')",metaphysics of science,metaphysics,2,"phd_student, expert",False,False,True,True
"('cognitivescience', 'philosophyofscienceandthesciences')",cognitive science,philosophy of science and the sciences,2,"phd_student, expert",False,False,True,True
"('metaphysics', 'modernphilosophy')",modern philosophy,metaphysics,2,"phd_student, expert",False,False,True,True
"('metaphysics', 'personalidentityandethics')",personal identity and ethics,metaphysics,2,"phd_student, expert",False,False,True,True
"('perception', 'unitarianism')",unitarianism,perception,2,"phd_student, expert",False,False,True,True
"('epistemology', 'feministepistemologyandphilosophyofscience')",feminist epistemology and philosophy of science,epistemology,2,"phd_student, expert",False,False,True,True
"('18thcenturygermanaesthetics', 'metaphysics')",18th century german aesthetics,metaphysics,2,"phd_student, expert",False,False,True,True
"('activationvalue', 'folkpsychology')",activation value,folk psychology,2,"phd_student, expert",False,False,True,True
"('hilbertsprogram', 'philosophyofmathematics')",hilbert's program,philosophy of mathematics,2,"course_taker, phd_student",False,True,True,False
"('eliminativematerialism', 'philosophyofmind')",eliminative materialism,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('historyoflogic', 'intuitionisticlogic')",intuitionistic logic,history of logic,2,"amateur, phd_student",True,False,True,False
"('blindsight', 'perception')",blindsight,perception,2,"phd_student, expert",False,False,True,True
"('scientificmethodology', 'unityofscience')",unity of science,scientific methodology,2,"amateur, phd_student",True,False,True,False
"('cognitivescience', 'neuralnetwork')",neural network,cognitive science,2,"phd_student, expert",False,False,True,True
"('metaphysics', 'time')",time,metaphysics,2,"phd_student, expert",False,False,True,True
"('functionalism', 'philosophyofmind')",functionalism,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('foundationalism', 'foundationalisttheoriesofepistemicjustification')",foundationalist theories of epistemic justification,foundationalism,2,"phd_student, expert",False,False,True,True
"('intuitionisticlogic', 'logic')",logic,intuitionistic logic,2,"course_taker, phd_student",False,True,True,False
"('connectionism', 'neuralnetwork')",connectionism,neural network,2,"course_taker, phd_student",False,True,True,False
"('causaltheoriesofmentalcontent', 'perception')",causal theories of mental content,perception,2,"phd_student, expert",False,False,True,True
"('metaphysics', 'mindbodyproblem')",mind-body problem,metaphysics,2,"phd_student, expert",False,False,True,True
"('greatapes', 'philosophyofmind')",great apes,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('philosophyofreligion', 'problemofevil')",problem of evil,philosophy of religion,2,"phd_student, expert",False,False,True,True
"('epistemology', 'gettierproblem')",gettier problem,epistemology,2,"phd_student, expert",False,False,True,True
"('epistemology', 'internalism')",internalism,epistemology,2,"phd_student, expert",False,False,True,True
"('eternityinchristianthought', 'philosophyofreligion')",Eternity in Christian Thought,philosophy of religion,2,"phd_student, expert",False,False,True,True
"('miracles', 'philosophyofreligion')",miracles,philosophy of religion,2,"phd_student, expert",False,False,True,True
"('existence', 'metaphysics')",existence,metaphysics,2,"phd_student, expert",False,False,True,True
"('philosophyofreligion', 'sovereignty')",sovereignty,philosophy of religion,2,"phd_student, expert",False,False,True,True
"('philosophyofpsychology', 'philosophyofscienceandthesciences')",philosophy of psychology,philosophy of science and the sciences,2,"phd_student, expert",False,False,True,True
"('epistemology', 'naturalisminlegalphilosophy')",naturalism in legal philosophy,epistemology,2,"phd_student, expert",False,False,True,True
"('perception', 'philosophyofperception')",philosophy of perception,perception,2,"phd_student, expert",False,False,True,True
"('epistemology', 'platonicrealism')",platonic realism,epistemology,2,"phd_student, expert",False,False,True,True
"('computationaltheoryofmind', 'philosophyofmind')",computational theory of mind,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('civilrights', 'racism')",racism,civil rights,2,"course_taker, phd_student",False,True,True,False
"('epistemology', 'feministsocialepistemology')",feminist social epistemology,epistemology,2,"phd_student, expert",False,False,True,True
"('leibnizoncausation', 'perception')",leibniz on causation,perception,2,"phd_student, expert",False,False,True,True
"('philosophyofscienceandthesciences', 'scientificprogress')",scientific progress,philosophy of science and the sciences,2,"phd_student, expert",False,False,True,True
"('epistemology', 'sensedata')",sense data,epistemology,2,"phd_student, expert",False,False,True,True
"('epistemology', 'testimony')",testimony,epistemology,2,"phd_student, expert",False,False,True,True
"('epistemology', 'scientifictheory')",scientific theory,epistemology,2,"phd_student, expert",False,False,True,True
"('medievaltheoriesofcausality', 'metaphysics')",medieval theories of causality,metaphysics,2,"phd_student, expert",False,False,True,True
"('artificialintelligence', 'connectionistmodel')",connectionist model,artificial intelligence,2,"phd_student, expert",False,False,True,True
"('classicallogic', 'logic')",logic,classical logic,2,"course_taker, phd_student",False,True,True,False
"('epistemology', 'modernphilosophy')",modern philosophy,epistemology,2,"phd_student, expert",False,False,True,True
"('philosophyofreligion', 'scienceandreligion')",science and religion,philosophy of religion,2,"phd_student, expert",False,False,True,True
"('philosophyofmind', 'spinozaspsychologicaltheory')",spinoza's psychological theory,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('intellectualism', 'philosophyofreligion')",intellectualism,philosophy of religion,2,"amateur, phd_student",True,False,True,False
"('existence', 'existenceofgod')",existence of god,existence,2,"phd_student, expert",False,False,True,True
"('philosophyofmind', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('introspection', 'philosophyofmind')",introspection,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('physicalism', 'zombies')",zombies,physicalism,2,"phd_student, expert",False,False,True,True
"('metaphysics', 'theoryoftruth')",theory of truth,metaphysics,2,"phd_student, expert",False,False,True,True
"('cartesiandualism', 'philosophyofmind')",cartesian dualism,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('metaphysics', 'theoryofforms')",theory of forms,metaphysics,2,"phd_student, expert",False,False,True,True
"('epistemology', 'historyoffeminism')",history of feminism,epistemology,2,"phd_student, expert",False,False,True,True
"('causation', 'metaphysicsofcausation')",metaphysics of causation,causation,2,"phd_student, expert",False,False,True,True
"('folkpsychology', 'perception')",folk psychology,perception,2,"phd_student, expert",False,False,True,True
"('computerethics', 'ethics')",computer ethics,ethics,2,"phd_student, expert",False,False,True,True
"('essentialversusaccidentalproperties', 'propertyandownership')",essential versus accidental properties,property and ownership,2,"phd_student, expert",False,False,True,True
"('philosophyofreligion', 'publicreason')",public reason,philosophy of religion,2,"phd_student, expert",False,False,True,True
"('agnosticism', 'philosophyofreligion')",agnosticism,philosophy of religion,2,"phd_student, expert",False,False,True,True
"('chinesephilosophy', 'confucianism')",chinese philosophy,confucianism,2,"course_taker, expert",False,True,False,True
"('symmetryandinvariance', 'symmetryandsymmetrybreaking')",symmetry and symmetry breaking,symmetry and invariance,2,"phd_student, expert",False,False,True,True
"('epistemology', 'socialandpoliticalphilosophy')",social and political philosophy,epistemology,2,"phd_student, expert",False,False,True,True
"('ideas', 'metaphysics')",ideas,metaphysics,2,"phd_student, expert",False,False,True,True
"('matter', 'perception')",matter,perception,2,"phd_student, expert",False,False,True,True
"('20thcenturycontinentalphilosophy', 'philosophyofmind')",20th century continental philosophy,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('epistemology', 'philosophyofmathematics')",philosophy of mathematics,epistemology,2,"phd_student, expert",False,False,True,True
"('churchturingthesis', 'turingmachine')",church-turing thesis,turing machine,2,"phd_student, expert",False,False,True,True
"('cognitivevalueofart', 'perception')",cognitive value of art,perception,2,"phd_student, expert",False,False,True,True
"('kantscritiqueofmetaphysics', 'metaphysics')",kant's critique of metaphysics,metaphysics,2,"phd_student, expert",False,False,True,True
"('koreanphilosophy', 'philosophyofmind')",korean philosophy,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('artificialintelligence', 'churchturingthesis')",church-turing thesis,artificial intelligence,2,"phd_student, expert",False,False,True,True
"('nonconceptualmentalcontent', 'perception')",nonconceptual mental content,perception,2,"phd_student, expert",False,False,True,True
"('cognitivescience', 'eliminativematerialism')",eliminative materialism,cognitive science,2,"phd_student, expert",False,False,True,True
"('epistemologyofscience', 'metaphysics')",epistemology of science,metaphysics,2,"phd_student, expert",False,False,True,True
"('medievalproblemofuniversals', 'philosophyofmind')",medieval problem of universals,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('bellstheorem', 'quantummechanics')",bell's theorem,quantum mechanics,2,"phd_student, expert",False,False,True,True
"('africanandafricanamericanphilosophy', 'akanphilosophyoftheperson')",akan philosophy of the person,african and african-american philosophy,2,"course_taker, phd_student",False,True,True,False
"('epistemology', 'theoryofforms')",theory of forms,epistemology,2,"phd_student, expert",False,False,True,True
"('philosophyofscienceandthesciences', 'socialdimensionsofscientificknowledge')",social dimensions of scientific knowledge,philosophy of science and the sciences,2,"phd_student, expert",False,False,True,True
"('chinesephilosophy', 'chineseroomargument')",chinese room argument,chinese philosophy,2,"phd_student, expert",False,False,True,True
"('inherence', 'metaphysics')",inherence,metaphysics,2,"phd_student, expert",False,False,True,True
"('cosmologicalargumentsfortheexistenceofgod', 'philosophyofreligion')",cosmological arguments for the existence of god,philosophy of religion,2,"phd_student, expert",False,False,True,True
"('logic', 'philosophiesoftheparticularsciences')",philosophies of the particular sciences,logic,2,"phd_student, expert",False,False,True,True
"('analyticfeminism', 'epistemology')",analytic feminism,epistemology,2,"phd_student, expert",False,False,True,True
"('cognitivescience', 'perception')",cognitive science,perception,2,"phd_student, expert",False,False,True,True
"('confirmationandinduction', 'metaphysics')",confirmation and induction,metaphysics,2,"phd_student, expert",False,False,True,True
"('malebranchestheoryofideasandvisioningod', 'philosophyofmind')",malebranche's theory of ideas and vision in god,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('philosophyofphysics', 'quantummechanics')",quantum mechanics,philosophy of physics,2,"phd_student, expert",False,False,True,True
"('relativism', 'truth')",relativism,truth,2,"phd_student, expert",False,False,True,True
"('philosophyofreligion', 'theism')",theism,philosophy of religion,2,"phd_student, expert",False,False,True,True
"('fregestheoremandfoundationsforarithmetic', 'philosophyoflaw')",frege's theorem and foundations for arithmetic,philosophy of law,2,"course_taker, phd_student",False,True,True,False
"('futurecontingents', 'historyoflogic')",future contingents,history of logic,2,"amateur, phd_student",True,False,True,False
"('nonconceptualcontent', 'perception')",non-conceptual content,perception,2,"phd_student, expert",False,False,True,True
"('foundationalisttheoriesofepistemicjustification', 'justification')",foundationalist theories of epistemic justification,justification,2,"phd_student, expert",False,False,True,True
"('philosophyofmind', 'selfconsciousness')",self-consciousness,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('philosophyofcomputerscience', 'philosophyofmind')",philosophy of computer science,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('artificialintelligence', 'philosophyofmind')",artificial intelligence,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('animalconsciousness', 'consciousness')",animal consciousness,consciousness,2,"phd_student, expert",False,False,True,True
"('17thand18thcenturytheoriesofemotions', 'perception')",17th and 18th century theories of emotions,perception,2,"phd_student, expert",False,False,True,True
"('combininglogics', 'logic')",logic,combining logics,2,"course_taker, phd_student",False,True,True,False
"('consciousnessandscience', 'perception')",consciousness and science,perception,2,"phd_student, expert",False,False,True,True
"('epistemology', 'otherminds')",other minds,epistemology,2,"phd_student, expert",False,False,True,True
"('mindbodyproblem', 'philosophyofmind')",mind-body problem,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('existence', 'possibleworlds')",possible worlds,existence,2,"phd_student, expert",False,False,True,True
"('afterlife', 'incompatibilism')",incompatibilism,afterlife,2,"phd_student, expert",False,False,True,True
"('mathematicallogic', 'metaphysics')",mathematical logic,metaphysics,2,"phd_student, expert",False,False,True,True
"('animalconsciousness', 'philosophyofmind')",animal consciousness,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('philosophyofmind', 'teleologicalargumentsforgodsexistence')",teleological arguments for god's existence,philosophy of mind,2,"phd_student, expert",False,False,True,True
"('christiantheology', 'philosophyofreligion')",christian theology,philosophy of religion,2,"phd_student, expert",False,False,True,True
