key,ideaA,ideaB,humanRelatedness,humanGenerality
"('logicalform', 'metaphysicsofcausation')",metaphysics of causation,logical form,0,0
"('pragmatics', 'voluntaryeuthanasia')",voluntary euthanasia,pragmatics,0,0
"('pragmatics', 'typesandtokens')",types and tokens,pragmatics,2,3
"('pragmatics', 'propositionalattitudereports')",propositional attitude reports,pragmatics,3,0
"('computationandrepresentation', 'pragmatics')",computation and representation,pragmatics,1,3
"('intersectionsbetweenpragmatistandcontinentalfeminism', 'pragmatics')",intersections between pragmatist and continental feminism,pragmatics,0,3
"('anaphora', 'pragmatics')",anaphora,pragmatics,3,0
"('philosophyoflanguage', 'pragmatics')",philosophy of language,pragmatics,4,1
"('pragmatics', 'semantics')",semantics,pragmatics,2,2
"('philosophyoflanguage', 'syntax')",philosophy of language,syntax,4,1
"('logicalform', 'propositions')",propositions,logical form,4,0
"('logicalform', 'philosophyoflanguage')",philosophy of language,logical form,4,1
"('intention', 'pragmatics')",intention,pragmatics,3,0
"('consciousness', 'unityofconsciousness')",unity of consciousness,consciousness,4,0
"('internalismandexternalism', 'internalistvsexternalistconceptionsofepistemicjustification')",internalist vs. externalist conceptions of epistemic justification,internalism and externalism,4,0
"('interpretationsofprobability', 'probabilityandstatistics')",interpretations of probability,probability and statistics,4,0
"('consciousnessandintentionality', 'intentionality')",consciousness and intentionality,intentionality,4,0
"('animalconsciousness', 'consciousness')",animal consciousness,consciousness,4,0
"('compatibilism', 'freewill')",compatibilism,free will,4,3
"('consciousness', 'consciousnessandintentionality')",consciousness and intentionality,consciousness,4,0
"('folkpsychology', 'philosophyofpsychology')",folk psychology,philosophy of psychology,4,0
"('molecularbiology', 'philosophyofbiology')",molecular biology,philosophy of biology,4,0
"('idiolects', 'philosophyoflanguage')",idiolects,philosophy of language,4,0
"('logicandlanguage', 'philosophyoflanguage')",logic and language,philosophy of language,4,3
"('consciousness', 'kantsviewofthemindandconsciousnessofself')",kant's view of the mind and consciousness of self,consciousness,4,0
"('timetravel', 'timetravelandmodernphysics')",time travel and modern physics,time travel,4,0
"('conservationbiology', 'philosophyofbiology')",conservation biology,philosophy of biology,4,0
"('bayesstheorem', 'probabilityandstatistics')",bayes's theorem,probability and statistics,4,0
"('internalism', 'internalismandexternalism')",internalism,internalism and externalism,4,0
"('lawandlanguage', 'philosophyoflanguage')",law and language,philosophy of language,4,3
"('philosophyofscience', 'philosophyofsocialscience')",philosophy of social science,philosophy of science,4,0
"('folkpsychology', 'folkpsychologyasatheory')",folk psychology as a theory,folk psychology,4,0
"('folkpsychologyasatheory', 'philosophyofpsychology')",folk psychology as a theory,philosophy of psychology,4,0
"('philosophyofcomputerscience', 'philosophyofscience')",philosophy of computer science,philosophy of science,4,0
"('economicsandeconomicjustice', 'philosophyofeconomics')",economics and economic justice,philosophy of economics,4,0
"('feministphilosophyoflanguage', 'philosophyoflanguage')",feminist philosophy of language,philosophy of language,4,3
"('externalismaboutmentalcontent', 'internalismandexternalism')",externalism about mental content,internalism and externalism,4,0
"('cognitivescience', 'philosophyofscience')",cognitive science,philosophy of science,2,3
"('personalidentity', 'personalidentityandethics')",personal identity and ethics,personal identity,4,0
"('emergence', 'emergentproperties')",emergent properties,emergence,4,0
"('quantummechanics', 'vonneumannanddiracscontributionstoquantumtheory')",von neumann and dirac's contributions to quantum theory,quantum mechanics,4,0
"('argumentsforincompatibilism', 'freewill')",arguments for incompatibilism,free will,4,0
"('philosophyoflanguage', 'privatelanguage')",private language,philosophy of language,4,0
"('invertedqualia', 'qualia')",inverted qualia,qualia,4,0
"('philosophyofscience', 'religionandscience')",religion and science,philosophy of science,4,0
"('kantsviewofthemindandconsciousnessofself', 'philosophyofmind')",kant's view of the mind and consciousness of self,philosophy of mind,3,0
"('probabilisticcausation', 'probabilityandstatistics')",probabilistic causation,probability and statistics,4,0
"('everettsrelativestateformulationofquantummechanics', 'quantummechanics')",everett's relative-state formulation of quantum mechanics,quantum mechanics,4,0
"('moralpsychology', 'philosophyofpsychology')",moral psychology,philosophy of psychology,4,0
"('philosophyofscience', 'socialdimensionsofscientificknowledge')",social dimensions of scientific knowledge,philosophy of science,4,0
"('probability', 'probabilityandstatistics')",probability,probability and statistics,4,0
"('probabilityandstatistics', 'quantumlogicandprobabilitytheory')",quantum logic and probability theory,probability and statistics,4,0
"('mentalimagery', 'philosophyofpsychology')",mental imagery,philosophy of psychology,4,0
"('quantumlogicandprobabilitytheory', 'quantummechanics')",quantum logic and probability theory,quantum mechanics,4,0
"('quantummechanics', 'relationalquantummechanics')",relational quantum mechanics,quantum mechanics,4,0
"('philosophyofscience', 'scientificprogress')",scientific progress,philosophy of science,4,0
"('consciousness', 'higherordertheoriesofconsciousness')",higher-order theories of consciousness,consciousness,4,0
"('consciousnessandintentionality', 'philosophyofmind')",consciousness and intentionality,philosophy of mind,4,0
"('historicisttheoriesofrationality', 'philosophyofscience')",historicist theories of rationality,philosophy of science,4,3
"('feministepistemologyandphilosophyofscience', 'philosophyofscience')",feminist epistemology and philosophy of science,philosophy of science,4,0
"('equivalenceofmassandenergy', 'philosophyofphysics')",equivalence of mass and energy,philosophy of physics,4,0
"('philosophyofbiology', 'teleologicalnotionsinbiology')",teleological notions in biology,philosophy of biology,4,0
"('bellstheorem', 'quantummechanics')",bell's theorem,quantum mechanics,4,3
"('mentalcontent', 'theoriesofmentalcontent')",theories of mental content,mental content,4,0
"('bayesianepistemology', 'probabilityandstatistics')",bayesian epistemology,probability and statistics,4,3
"('philosophyofphysics', 'symmetryandsymmetrybreaking')",symmetry and symmetry breaking,philosophy of physics,4,0
"('aristotleandmathematics', 'philosophyofscience')",aristotle and mathematics,philosophy of science,4,3
"('externalismaboutmentalcontent', 'mentalcontent')",externalism about mental content,mental content,4,0
"('bohmianmechanics', 'quantummechanics')",bohmian mechanics,quantum mechanics,4,3
"('consciousness', 'phenomenologicalapproachestoselfconsciousness')",phenomenological approaches to self-consciousness,consciousness,4,0
"('einsteinsphilosophyofscience', 'philosophyofscience')",einstein's philosophy of science,philosophy of science,4,0
"('philosophyofphysics', 'timemachine')",time machine,philosophy of physics,4,0
"('descartesphysics', 'philosophyofphysics')",descartes' physics,philosophy of physics,4,0
"('chineseroomargument', 'philosophyofmind')",chinese room argument,philosophy of mind,4,0
"('dualismandmetaphysicsofmind', 'philosophyofmind')",dualism and metaphysics of mind,philosophy of mind,4,0
"('consciousness', 'consciousnessandcontent')",consciousness and content,consciousness,4,0
"('philosophyofpsychology', 'psychologism')",psychologism,philosophy of psychology,4,0
"('panpsychism', 'philosophyofmind')",panpsychism,philosophy of mind,4,0
"('quantummechanics', 'uncertaintyprinciple')",uncertainty principle,quantum mechanics,4,0
"('einsteinsphilosophyofscience', 'philosophyofphysics')",einstein's philosophy of science,philosophy of physics,4,3
"('quantummechanics', 'roleofdecoherenceinquantumtheory')",role of decoherence in quantum theory,quantum mechanics,4,0
"('probabilityandstatistics', 'simpsonsparadox')",simpson's paradox,probability and statistics,4,0
"('philosophyofscience', 'scientificrealism')",scientific realism,philosophy of science,4,0
"('mentalcontent', 'teleologicaltheoriesofmentalcontent')",teleological theories of mental content,mental content,4,0
"('multiplerealizability', 'reduction')",multiple realizability,reduction,4,3
"('kantsphilosophyofscience', 'philosophyofscience')",kant's philosophy of science,philosophy of science,4,0
"('leibnizsphilosophyofmind', 'philosophyofmind')",leibniz's philosophy of mind,philosophy of mind,4,0
"('consciousnessandscience', 'philosophyofscience')",consciousness and science,philosophy of science,4,0
"('brainsinavat', 'internalismandexternalism')",brains in a vat,internalism and externalism,4,3
"('biologicalnotionofselfandnonself', 'philosophyofbiology')",biological notion of self and non-self,philosophy of biology,4,0
"('cognitivescience', 'philosophyofmind')",cognitive science,philosophy of mind,4,0
"('copenhageninterpretationofquantummechanics', 'quantummechanics')",copenhagen interpretation of quantum mechanics,quantum mechanics,4,0
"('earlyphilosophicalinterpretationsofgeneralrelativity', 'philosophyofphysics')",early philosophical interpretations of general relativity,philosophy of physics,4,0
"('consciousness', 'philosophyofmind')",consciousness,philosophy of mind,4,0
"('copenhageninterpretationofquantummechanics', 'philosophyofphysics')",copenhagen interpretation of quantum mechanics,philosophy of physics,4,0
"('methodologicaldebatesincosmologythe1930sand1940s', 'philosophyofscience')",methodological debates in cosmology the 1930s and 1940s,philosophy of science,4,0
"('connectionism', 'inputunit')",input unit,connectionism,3,0
"('animalism', 'personalidentity')",animalism,personal identity,4,0
"('philosophyofbiology', 'populationgenetics')",population genetics,philosophy of biology,4,0
"('identityandindividualityinquantumtheory', 'philosophyofphysics')",identity and individuality in quantum theory,philosophy of physics,4,0
"('holismandnonseparabilityinphysics', 'philosophyofphysics')",holism and nonseparability in physics,philosophy of physics,4,0
"('eliminativematerialism', 'folkpsychology')",eliminative materialism,folk psychology,4,2
"('mentalcontent', 'narrowmentalcontent')",narrow mental content,mental content,4,0
"('creationism', 'philosophyofscience')",creationism,philosophy of science,4,0
"('philosophyofpsychology', 'philosophyofscience')",philosophy of psychology,philosophy of science,4,0
"('beingandbecominginmodernphysics', 'philosophyofphysics')",being and becoming in modern physics,philosophy of physics,4,0
"('intentionality', 'intentionalityinancientphilosophy')",intentionality in ancient philosophy,intentionality,2,3
"('philosophyofscience', 'psychiatry')",psychiatry,philosophy of science,4,0
"('teleologicaltheoriesofmentalcontent', 'theoriesofmentalcontent')",teleological theories of mental content,theories of mental content,4,0
"('philosophyofchemistry', 'philosophyofphysics')",philosophy of chemistry,philosophy of physics,3,2
"('emergence', 'panpsychism')",panpsychism,emergence,4,3
"('philosophyofphysics', 'quantummechanics')",quantum mechanics,philosophy of physics,4,0
"('indispensabilityargumentsinthephilosophyofmathematics', 'philosophyofscience')",indispensability arguments in the philosophy of mathematics,philosophy of science,4,0
"('consciousness', 'quantumapproachestoconsciousness')",quantum approaches to consciousness,consciousness,4,0
"('philosophyofphysics', 'philosophyofscience')",philosophy of physics,philosophy of science,4,0
"('philosophyofphysics', 'vonneumannanddiracscontributionstoquantumtheory')",von neumann and dirac's contributions to quantum theory,philosophy of physics,4,0
"('compatibilismandincompatibilism', 'freewill')",compatibilism and incompatibilism,free will,4,0
"('physicalism', 'zombies')",zombies,physicalism,4,0
"('activationvalue', 'connectionism')",activation value,connectionism,3,0
"('prisonersdilemma', 'probabilityandstatistics')",prisoner's dilemma,probability and statistics,4,0
"('freewill', 'incompatibilism')",incompatibilism,free will,4,0
"('knowledgeargument', 'physicalism')",knowledge argument,physicalism,4,0
"('cognitivescience', 'philosophyofpsychology')",cognitive science,philosophy of psychology,4,3
"('philosophyofmathematics', 'philosophyofscience')",philosophy of mathematics,philosophy of science,4,0
"('philosophyofphysics', 'uncertaintyprinciple')",uncertainty principle,philosophy of physics,4,0
"('connectionism', 'distributedrepresentation')",distributed representation,connectionism,4,2
"('experimentinphysics', 'philosophyofscience')",experiment in physics,philosophy of science,4,0
"('timemachine', 'timetravel')",time machine,time travel,4,0
"('philosophyofbiology', 'philosophyofscience')",philosophy of biology,philosophy of science,4,0
"('philosophyofphysics', 'timetravel')",time travel,philosophy of physics,4,0
"('linearlogic', 'philosophyofcomputerscience')",linear logic,philosophy of computer science,3,0
"('identitythroughtime', 'personalidentity')",identity through time,personal identity,4,0
"('connectionism', 'symbolicprocessing')",symbolic processing,connectionism,4,2
"('philosophyofbiology', 'replication')",replication,philosophy of biology,4,0
"('identityovertime', 'personalidentity')",identity over time,personal identity,4,0
"('boltzmannsworkinstatisticalphysics', 'philosophyofphysics')",boltzmann's work in statistical physics,philosophy of physics,4,0
"('qualia', 'zombies')",zombies,qualia,4,0
"('connectionism', 'outputunit')",output unit,connectionism,3,0
"('logicandartificialintelligence', 'philosophyofcomputerscience')",logic and artificial intelligence,philosophy of computer science,4,3
"('causaltheoriesofmentalcontent', 'mentalcontent')",causal theories of mental content,mental content,4,0
"('functionalism', 'zombies')",zombies,functionalism,4,0
"('cognitivescience', 'computationandrepresentation')",computation and representation,cognitive science,4,0
"('criticaltheory', 'emergence')",critical theory,emergence,0,-1
"('consciousnessandphysics', 'philosophyofphysics')",consciousness and physics,philosophy of physics,4,3
"('philosophyofphysics', 'singularitiesandblackholesinrelativisticspacetimes')",singularities and black holes in relativistic spacetimes,philosophy of physics,4,0
"('experimentinphysics', 'philosophyofphysics')",experiment in physics,philosophy of physics,4,0
"('aristotlesbiology', 'philosophyofbiology')",aristotle's biology,philosophy of biology,4,0
"('philosophyofphysics', 'statisticalmechanics')",statistical mechanics,philosophy of physics,3,0
"('philosophyofbiology', 'philosophyofchemistry')",philosophy of chemistry,philosophy of biology,3,2
"('electromagnetism', 'philosophyofphysics')",electromagnetism,philosophy of physics,4,0
"('feministbioethics', 'philosophyofmedicine')",feminist bioethics,philosophy of medicine,4,3
"('artificialintelligence', 'defeasiblereasoning')",defeasible reasoning,artificial intelligence,4,0
"('cognitivescience', 'mentalimagery')",mental imagery,cognitive science,4,0
"('consciousnessandmentalcontent', 'qualia')",consciousness and mental content,qualia,2,2
"('holeargument', 'philosophyofspaceandtime')",hole argument,philosophy of space and time,4,0
"('manyworldsinterpretationofquantummechanics', 'quantummechanics')",many-worlds interpretation of quantum mechanics,quantum mechanics,4,0
"('newtonsviewsonspacetimeandmotion', 'philosophyofspaceandtime')","newton's views on space, time, and motion",philosophy of space and time,4,3
"('neodarwinism', 'philosophyofbiology')",neo-darwinism,philosophy of biology,4,0
"('darwinism', 'philosophyofbiology')",darwinism,philosophy of biology,4,0
"('functionalism', 'machinefunctionalism')",machine functionalism,functionalism,4,0
"('philosophyofsociology', 'socialdimensionsofscientificknowledge')",social dimensions of scientific knowledge,philosophy of sociology,4,0
"('cognitivescience', 'symbolicprocessing')",symbolic processing,cognitive science,3,0
"('defaultsinsemanticsandpragmatics', 'logicalform')",defaults in semantics and pragmatics,logical form,4,1
"('quantumentanglementandinformation', 'quantummechanics')",quantum entanglement and information,quantum mechanics,4,0
"('externalism', 'internalismandexternalism')",externalism,internalism and externalism,4,0
"('measurementinquantumtheory', 'quantummechanics')",measurement in quantum theory,quantum mechanics,4,0
"('modalinterpretationsofquantumtheory', 'quantummechanics')",modal interpretations of quantum theory,quantum mechanics,4,0
"('computerethics', 'philosophyofsociology')",computer ethics,philosophy of sociology,4,3
"('physicalism', 'qualia')",qualia,physicalism,4,0
"('emergence', 'roleofdecoherenceinquantumtheory')",role of decoherence in quantum theory,emergence,0,-1
"('absentqualia', 'qualia')",absent qualia,qualia,4,0
"('computerethics', 'philosophyofcomputerscience')",computer ethics,philosophy of computer science,4,0
"('personalidentity', 'temporalparts')",temporal parts,personal identity,3,3
"('emergence', 'globalization')",globalization,emergence,0,-1
"('biodiversity', 'philosophyofbiology')",biodiversity,philosophy of biology,4,0
"('mentalillness', 'philosophyofmedicine')",mental illness,philosophy of medicine,4,0
"('functionalism', 'identitytheoryofmind')",identity theory of mind,functionalism,4,2
"('physicalism', 'propertydualism')",property dualism,physicalism,4,0
"('emergence', 'timemachine')",time machine,emergence,0,-1
"('cognitivescience', 'connectionistmodel')",connectionist model,cognitive science,3,0
"('consciousnessandphysics', 'consciousnessandscience')",consciousness and physics,consciousness and science,4,0
"('computerethics', 'philosophyofcomputerscience')",computer ethics,philosophy of computer science,4,0
"('logicalform', 'logicaltruth')",logical truth,logical form,4,3
"('causaltheoriesofmentalcontent', 'theoriesofmentalcontent')",causal theories of mental content,theories of mental content,4,0
"('cognitivescience', 'folkpsychology')",folk psychology,cognitive science,3,2
"('biologicalaltruism', 'philosophyofbiology')",biological altruism,philosophy of biology,4,0
"('artificialintelligence', 'symbolicprocessing')",symbolic processing,artificial intelligence,4,0
"('molecularbiology', 'philosophyofchemistry')",molecular biology,philosophy of chemistry,3,3
"('booleanalgebra', 'philosophyofcomputerscience')",boolean algebra,philosophy of computer science,3,0
"('connectionism', 'connectionistmodel')",connectionist model,connectionism,3,0
"('absoluteandrelationaltheoriesofspaceandmotion', 'philosophyofspaceandtime')",absolute and relational theories of space and motion,philosophy of space and time,4,0
"('feministphilosophyoflanguage', 'languageandsociety')",feminist philosophy of language,language and society,4,0
"('supervenience', 'temporalparts')",temporal parts,supervenience,4,0
"('artificialintelligence', 'turingtest')",turing test,artificial intelligence,4,0
"('animalconsciousness', 'consciousnessandpsychology')",animal consciousness,consciousness and psychology,4,3
"('logicandgames', 'philosophyofcomputerscience')",logic and games,philosophy of computer science,3,0
"('artificialintelligence', 'logicandartificialintelligence')",logic and artificial intelligence,artificial intelligence,4,0
"('knowledgeargument', 'qualia')",knowledge argument,qualia,4,0
"('multiplerealizability', 'physicalism')",multiple realizability,physicalism,4,0
"('animalcognition', 'cognitivescience')",animal cognition,cognitive science,3,0
"('explanatorygap', 'physicalism')",explanatory gap,physicalism,4,0
"('cognitivescience', 'neuralnetwork')",neural network,cognitive science,3,0
"('firstordermodeltheory', 'philosophyofcomputerscience')",first-order model theory,philosophy of computer science,3,0
"('philosophyofmedicine', 'voluntaryeuthanasia')",voluntary euthanasia,philosophy of medicine,4,3
"('cognitivescience', 'computationaltheoryofmind')",computational theory of mind,cognitive science,3,0
"('folkpsychology', 'folkpsychologyasmentalsimulation')",folk psychology as mental simulation,folk psychology,4,0
"('internalismandexternalism', 'reliabilism')",reliabilism,internalism and externalism,4,3
"('cognitivescience', 'connectionism')",connectionism,cognitive science,4,0
"('artificialintelligence', 'outputunit')",output unit,artificial intelligence,1,0
"('gametheory', 'philosophyofeconomics')",game theory,philosophy of economics,4,0
"('artificialintelligence', 'frameproblem')",frame problem,artificial intelligence,4,0
"('emergence', 'neodarwinism')",neo-darwinism,emergence,0,-1
"('consciousnessandneuroscience', 'consciousnessandscience')",consciousness and neuroscience,consciousness and science,4,0
"('categorytheory', 'philosophyofcomputerscience')",category theory,philosophy of computer science,3,0
"('economicjustice', 'philosophyofeconomics')",economic justice,philosophy of economics,4,0
"('philosophyofcomputerscience', 'prooftheory')",proof theory,philosophy of computer science,4,0
"('methodologicalindividualism', 'philosophyofeconomics')",methodological individualism,philosophy of economics,4,3
"('molecularbiology', 'philosophyofmedicine')",molecular biology,philosophy of medicine,4,3
"('automatedreasoning', 'philosophyofcomputerscience')",automated reasoning,philosophy of computer science,4,0
"('artificialintelligence', 'distributedrepresentation')",distributed representation,artificial intelligence,3,0
"('consciousnessandscience', 'neuralcorrelates')",neural correlates,consciousness and science,4,0
"('classicism', 'connectionism')",classicism,connectionism,4,2
"('artificialintelligence', 'thinkingmachine')",thinking machine,artificial intelligence,4,0
"('folkpsychology', 'simulationtheory')",simulation theory,folk psychology,4,0
"('consciousnessandpsychology', 'consciousnessandscience')",consciousness and psychology,consciousness and science,4,0
"('artificialintelligence', 'chineseroomargument')",chinese room argument,artificial intelligence,4,0
"('economicanalysisoflaw', 'philosophyofeconomics')",economic analysis of law,philosophy of economics,4,0
"('cognitivescience', 'languagelearning')",language learning,cognitive science,4,0
"('personalidentity', 'relativeidentity')",relative identity,personal identity,4,0
"('dynamicalsystem', 'supertasks')",supertasks,dynamical system,2,3
"('folkpsychology', 'inputunit')",input unit,folk psychology,0,-1
"('philosophyofeconomics', 'repugnantconclusion')",repugnant conclusion,philosophy of economics,4,3
"('activationvalue', 'folkpsychology')",activation value,folk psychology,0,-1
"('artificialintelligence', 'philosophyofcomputerscience')",philosophy of computer science,artificial intelligence,4,1
"('evolutionarygametheory', 'philosophyofeconomics')",evolutionary game theory,philosophy of economics,3,3
"('philosophyofcomputerscience', 'philosophyofeconomics')",philosophy of computer science,philosophy of economics,2,2
"('feministperspectivesonclassandwork', 'philosophyofeconomics')",feminist perspectives on class and work,philosophy of economics,3,3
"('computationalism', 'computationandrepresentation')",computationalism,computation and representation,4,2
"('autism', 'folkpsychology')",autism,folk psychology,3,0
"('animalcognition', 'folkpsychology')",animal cognition,folk psychology,0,-1
"('computationaltheoryofmind', 'computationandrepresentation')",computational theory of mind,computation and representation,4,3
"('electromagnetism', 'philosophyofeconomics')",electromagnetism,philosophy of economics,0,-1
"('philosophyofeconomics', 'voting')",voting,philosophy of economics,0,-1
"('consciousnessandpsychology', 'simulationtheory')",simulation theory,consciousness and psychology,4,3
"('chineseroomargument', 'computationandrepresentation')",chinese room argument,computation and representation,3,3
"('folkpsychology', 'outputunit')",output unit,folk psychology,0,-1
"('blindsight', 'qualia')",blindsight,qualia,4,0
"('connectionism', 'languagelearning')",language learning,connectionism,4,0
"('computationalism', 'folkpsychology')",computationalism,folk psychology,0,-1
"('folkpsychology', 'frameproblem')",frame problem,folk psychology,0,-1
"('metaphysicsofmind', 'neutralmonism')",neutral monism,metaphysics of mind,3,0
"('computationaltheoryofmind', 'folkpsychology')",computational theory of mind,folk psychology,0,-1
"('computationandrepresentation', 'turingtest')",turing test,computation and representation,4,3
"('chineseroomargument', 'thinkingmachine')",chinese room argument,thinking machine,4,0
