key,ideaA,ideaB,persona,system_prompt,user_prompt,metadata
"('metaphysics', 'substance')",metaphysics,substance,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.719435+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('metaphysics', 'substance')",metaphysics,substance,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.719467+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,novice,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.719523+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.719555+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.719587+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('artificialintelligence', 'neuralnetwork')",artificial intelligence,neural network,course_taker,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.719649+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('artificialintelligence', 'neuralnetwork')",artificial intelligence,neural network,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.719681+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('artificialintelligence', 'neuralnetwork')",artificial intelligence,neural network,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.719712+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('epistemology', 'moralepistemologyandmoralreasoning')",epistemology,moral epistemology and moral reasoning,novice,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.719766+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('epistemology', 'moralepistemologyandmoralreasoning')",epistemology,moral epistemology and moral reasoning,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.719798+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('epistemology', 'moralepistemologyandmoralreasoning')",epistemology,moral epistemology and moral reasoning,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.719829+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('revisiontheoryoftruth', 'truth')",revision theory of truth,truth,course_taker,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.719892+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('revisiontheoryoftruth', 'truth')",revision theory of truth,truth,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.719924+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('revisiontheoryoftruth', 'truth')",revision theory of truth,truth,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.719954+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('philosophyofreligion', 'religion')",philosophy of religion,religion,course_taker,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720014+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('philosophyofreligion', 'religion')",philosophy of religion,religion,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720046+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('philosophyofreligion', 'religion')",philosophy of religion,religion,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720085+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('artificialintelligence', 'thinkingmachine')",thinking machine,artificial intelligence,course_taker,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720139+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('artificialintelligence', 'thinkingmachine')",thinking machine,artificial intelligence,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720171+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('artificialintelligence', 'thinkingmachine')",thinking machine,artificial intelligence,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720250+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('belief', 'philosophyofreligion')",philosophy of religion,belief,course_taker,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720305+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('belief', 'philosophyofreligion')",philosophy of religion,belief,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720336+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('belief', 'philosophyofreligion')",philosophy of religion,belief,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720366+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('chinesephilosophy', 'daoism')",chinese philosophy,daoism,course_taker,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720420+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('chinesephilosophy', 'daoism')",chinese philosophy,daoism,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720451+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('chinesephilosophy', 'daoism')",chinese philosophy,daoism,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720481+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('artificialintelligence', 'philosophyofcomputerscience')",artificial intelligence,philosophy of computer science,course_taker,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720534+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('artificialintelligence', 'philosophyofcomputerscience')",artificial intelligence,philosophy of computer science,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720566+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('artificialintelligence', 'philosophyofcomputerscience')",artificial intelligence,philosophy of computer science,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720597+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('cognitivescience', 'philosophyofscience')",cognitive science,philosophy of science,course_taker,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720651+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('cognitivescience', 'philosophyofscience')",cognitive science,philosophy of science,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720682+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('cognitivescience', 'philosophyofscience')",cognitive science,philosophy of science,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720713+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('philosophyofreligion', 'religiousdiversity')",philosophy of religion,religious diversity,course_taker,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720766+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('philosophyofreligion', 'religiousdiversity')",philosophy of religion,religious diversity,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720797+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('philosophyofreligion', 'religiousdiversity')",philosophy of religion,religious diversity,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720828+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('cognitivescience', 'mind')",cognitive science,mind,course_taker,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720882+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('cognitivescience', 'mind')",cognitive science,mind,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720913+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('cognitivescience', 'mind')",cognitive science,mind,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720942+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('japaneseconfucianphilosophy', 'japanesephilosophy')",japanese confucian philosophy,japanese philosophy,novice,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.720995+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('japaneseconfucianphilosophy', 'japanesephilosophy')",japanese confucian philosophy,japanese philosophy,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721027+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('japaneseconfucianphilosophy', 'japanesephilosophy')",japanese confucian philosophy,japanese philosophy,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721057+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('artificialintelligence', 'logicandartificialintelligence')",artificial intelligence,logic and artificial intelligence,course_taker,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721111+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('artificialintelligence', 'logicandartificialintelligence')",artificial intelligence,logic and artificial intelligence,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721144+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('artificialintelligence', 'logicandartificialintelligence')",artificial intelligence,logic and artificial intelligence,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721175+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('cognitivescience', 'philosophyofmind')",cognitive science,philosophy of mind,course_taker,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721236+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('cognitivescience', 'philosophyofmind')",cognitive science,philosophy of mind,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721267+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('cognitivescience', 'philosophyofmind')",cognitive science,philosophy of mind,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721298+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('philosophyofmathematics', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of mathematics,course_taker,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721351+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('philosophyofmathematics', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of mathematics,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721383+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('philosophyofmathematics', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of mathematics,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721415+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('cognitivescience', 'connectionism')",connectionism,cognitive science,course_taker,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721469+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('cognitivescience', 'connectionism')",connectionism,cognitive science,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721528+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('cognitivescience', 'connectionism')",connectionism,cognitive science,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721559+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('feministphilosophyofreligion', 'philosophyofreligion')",philosophy of religion,feminist philosophy of religion,course_taker,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721612+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('feministphilosophyofreligion', 'philosophyofreligion')",philosophy of religion,feminist philosophy of religion,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721644+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('feministphilosophyofreligion', 'philosophyofreligion')",philosophy of religion,feminist philosophy of religion,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721675+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('philosophyofreligion', 'religionandscience')",philosophy of religion,religion and science,course_taker,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721728+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('philosophyofreligion', 'religionandscience')",philosophy of religion,religion and science,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721759+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('philosophyofreligion', 'religionandscience')",philosophy of religion,religion and science,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721789+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('chinesebuddhism', 'chinesephilosophy')",chinese buddhism,chinese philosophy,novice,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721842+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('chinesebuddhism', 'chinesephilosophy')",chinese buddhism,chinese philosophy,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721873+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('chinesebuddhism', 'chinesephilosophy')",chinese buddhism,chinese philosophy,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721903+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('cognitivescience', 'philosophyofpsychology')",cognitive science,philosophy of psychology,course_taker,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721956+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('cognitivescience', 'philosophyofpsychology')",cognitive science,philosophy of psychology,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.721987+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('cognitivescience', 'philosophyofpsychology')",cognitive science,philosophy of psychology,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.722017+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('cognitivescience', 'representation')",cognitive science,representation,course_taker,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.722071+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('cognitivescience', 'representation')",cognitive science,representation,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.722101+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('cognitivescience', 'representation')",cognitive science,representation,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.722131+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('philosophyofscienceandthesciences', 'probabilityandstatistics')",philosophy of science and the sciences,probability and statistics,novice,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.722194+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('philosophyofscienceandthesciences', 'probabilityandstatistics')",philosophy of science and the sciences,probability and statistics,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.722229+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('philosophyofscienceandthesciences', 'probabilityandstatistics')",philosophy of science and the sciences,probability and statistics,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.722260+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('artificialintelligence', 'logic')",artificial intelligence,logic,course_taker,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.722314+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('artificialintelligence', 'logic')",artificial intelligence,logic,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.722345+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('artificialintelligence', 'logic')",artificial intelligence,logic,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.722374+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('bioethics', 'biomedicalethics')",biomedical ethics,bioethics,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.722427+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('bioethics', 'biomedicalethics')",biomedical ethics,bioethics,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.722457+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('mentalcontent', 'representation')",representation,mental content,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.722510+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('mentalcontent', 'representation')",representation,mental content,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.722542+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('cognitivescience', 'folkpsychology')",folk psychology,cognitive science,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.722595+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('cognitivescience', 'folkpsychology')",folk psychology,cognitive science,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.722626+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('aristotleonnoncontradiction', 'perception')",aristotle on non-contradiction,perception,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.722679+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('aristotleonnoncontradiction', 'perception')",aristotle on non-contradiction,perception,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.722709+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('epistemology', 'socialphilosophyandpoliticalphilosophy')",social philosophy and political philosophy,epistemology,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.723299+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('epistemology', 'socialphilosophyandpoliticalphilosophy')",social philosophy and political philosophy,epistemology,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.723337+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('epistemology', 'realism')",realism,epistemology,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.723421+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('epistemology', 'realism')",realism,epistemology,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.723459+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('epistemology', 'philosophiesoftheparticularsciences')",philosophies of the particular sciences,epistemology,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.723516+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('epistemology', 'philosophiesoftheparticularsciences')",philosophies of the particular sciences,epistemology,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.723547+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('metaphysics', 'realismandantirealism')",realism and anti-realism,metaphysics,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.723601+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('metaphysics', 'realismandantirealism')",realism and anti-realism,metaphysics,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.723631+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('einsteinsphilosophyofscience', 'philosophyofscienceandthesciences')",einstein's philosophy of science,philosophy of science and the sciences,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.723684+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('einsteinsphilosophyofscience', 'philosophyofscienceandthesciences')",einstein's philosophy of science,philosophy of science and the sciences,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.723716+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('medievaltheoriesofrelations', 'metaphysics')",medieval theories of relations,metaphysics,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.723770+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('medievaltheoriesofrelations', 'metaphysics')",medieval theories of relations,metaphysics,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.723801+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('epistemology', 'probability')",probability,epistemology,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.723854+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('epistemology', 'probability')",probability,epistemology,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.723884+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('epistemologicalproblemsoftestimony', 'epistemology')",epistemological problems of testimony,epistemology,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.723936+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('epistemologicalproblemsoftestimony', 'epistemology')",epistemological problems of testimony,epistemology,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.723967+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('epistemology', 'reliabilism')",reliabilism,epistemology,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.724020+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('epistemology', 'reliabilism')",reliabilism,epistemology,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.724050+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('connectionism', 'connectionistmodel')",connectionism,connectionist model,course_taker,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.724103+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('connectionism', 'connectionistmodel')",connectionism,connectionist model,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-17T01:47:42.724134+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
