key,ideaA,ideaB,relatedness,generality,persona,system_prompt,user_prompt,metadata
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,3,1,novice,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:16.558596+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,4,1,expert,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:17.916140+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,3,1,phd,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:19.284999+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,4,1,null,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:20.666409+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('artificialintelligence', 'neuralnetwork')",artificial intelligence,neural network,4,0,course_taker,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:21.994701+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('artificialintelligence', 'neuralnetwork')",artificial intelligence,neural network,4,1,expert,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:23.368622+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('artificialintelligence', 'neuralnetwork')",artificial intelligence,neural network,4,0,phd,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:24.699692+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('artificialintelligence', 'neuralnetwork')",artificial intelligence,neural network,4,1,null,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:26.072330+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('epistemology', 'moralepistemologyandmoralreasoning')",epistemology,moral epistemology and moral reasoning,4,1,novice,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:27.449917+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('epistemology', 'moralepistemologyandmoralreasoning')",epistemology,moral epistemology and moral reasoning,4,1,expert,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:28.810127+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('epistemology', 'moralepistemologyandmoralreasoning')",epistemology,moral epistemology and moral reasoning,4,1,phd,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:30.146478+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('epistemology', 'moralepistemologyandmoralreasoning')",epistemology,moral epistemology and moral reasoning,4,1,null,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:31.482935+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('revisiontheoryoftruth', 'truth')",revision theory of truth,truth,4,0,course_taker,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:32.832356+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('revisiontheoryoftruth', 'truth')",revision theory of truth,truth,4,0,expert,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:34.162396+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('revisiontheoryoftruth', 'truth')",revision theory of truth,truth,4,0,phd,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:35.507259+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('revisiontheoryoftruth', 'truth')",revision theory of truth,truth,3,0,null,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:36.991075+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('philosophyofreligion', 'religion')",philosophy of religion,religion,4,0,course_taker,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:38.344496+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('philosophyofreligion', 'religion')",philosophy of religion,religion,4,0,expert,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:39.676757+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('philosophyofreligion', 'religion')",philosophy of religion,religion,4,0,phd,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:41.032092+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('philosophyofreligion', 'religion')",philosophy of religion,religion,4,0,null,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:42.493129+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('artificialintelligence', 'thinkingmachine')",thinking machine,artificial intelligence,4,0,course_taker,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:43.856369+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('artificialintelligence', 'thinkingmachine')",thinking machine,artificial intelligence,4,0,expert,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:45.297371+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('artificialintelligence', 'thinkingmachine')",thinking machine,artificial intelligence,4,0,phd,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:46.723521+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('artificialintelligence', 'thinkingmachine')",thinking machine,artificial intelligence,4,0,null,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:48.099911+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('belief', 'philosophyofreligion')",philosophy of religion,belief,3,0,course_taker,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:49.449667+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('belief', 'philosophyofreligion')",philosophy of religion,belief,3,0,expert,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:50.810764+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('belief', 'philosophyofreligion')",philosophy of religion,belief,3,0,phd,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:52.145409+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('belief', 'philosophyofreligion')",philosophy of religion,belief,3,0,null,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:53.493526+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('chinesephilosophy', 'daoism')",chinese philosophy,daoism,4,0,course_taker,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:54.837815+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('chinesephilosophy', 'daoism')",chinese philosophy,daoism,4,0,expert,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:56.165001+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('chinesephilosophy', 'daoism')",chinese philosophy,daoism,4,0,phd,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:57.495311+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('chinesephilosophy', 'daoism')",chinese philosophy,daoism,4,1,null,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:46:58.849460+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('artificialintelligence', 'philosophyofcomputerscience')",artificial intelligence,philosophy of computer science,3,0,course_taker,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:00.186217+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('artificialintelligence', 'philosophyofcomputerscience')",artificial intelligence,philosophy of computer science,3,0,expert,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:01.498718+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('artificialintelligence', 'philosophyofcomputerscience')",artificial intelligence,philosophy of computer science,3,0,phd,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:02.860892+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('artificialintelligence', 'philosophyofcomputerscience')",artificial intelligence,philosophy of computer science,3,0,null,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:04.191974+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('cognitivescience', 'philosophyofscience')",cognitive science,philosophy of science,3,0,course_taker,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:05.557588+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('cognitivescience', 'philosophyofscience')",cognitive science,philosophy of science,4,0,expert,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:06.875810+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('cognitivescience', 'philosophyofscience')",cognitive science,philosophy of science,4,0,phd,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:08.205723+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('cognitivescience', 'philosophyofscience')",cognitive science,philosophy of science,3,0,null,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:09.662031+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('philosophyofreligion', 'religiousdiversity')",philosophy of religion,religious diversity,3,0,course_taker,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:11.115465+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('philosophyofreligion', 'religiousdiversity')",philosophy of religion,religious diversity,3,0,expert,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:12.598905+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('philosophyofreligion', 'religiousdiversity')",philosophy of religion,religious diversity,3,0,phd,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:13.953959+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('philosophyofreligion', 'religiousdiversity')",philosophy of religion,religious diversity,3,0,null,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:15.302788+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('cognitivescience', 'mind')",cognitive science,mind,3,0,course_taker,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:16.649652+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('cognitivescience', 'mind')",cognitive science,mind,4,0,expert,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:18.065957+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('cognitivescience', 'mind')",cognitive science,mind,4,0,phd,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:19.422597+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('cognitivescience', 'mind')",cognitive science,mind,4,0,null,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:20.836706+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('japaneseconfucianphilosophy', 'japanesephilosophy')",japanese confucian philosophy,japanese philosophy,4,0,novice,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:22.283537+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('japaneseconfucianphilosophy', 'japanesephilosophy')",japanese confucian philosophy,japanese philosophy,4,0,expert,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:23.637075+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('japaneseconfucianphilosophy', 'japanesephilosophy')",japanese confucian philosophy,japanese philosophy,4,0,phd,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:24.976092+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('japaneseconfucianphilosophy', 'japanesephilosophy')",japanese confucian philosophy,japanese philosophy,4,0,null,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:26.305193+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('artificialintelligence', 'logicandartificialintelligence')",artificial intelligence,logic and artificial intelligence,4,0,course_taker,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:27.642081+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('artificialintelligence', 'logicandartificialintelligence')",artificial intelligence,logic and artificial intelligence,4,0,expert,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:28.963541+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('artificialintelligence', 'logicandartificialintelligence')",artificial intelligence,logic and artificial intelligence,4,0,phd,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:30.324818+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('artificialintelligence', 'logicandartificialintelligence')",artificial intelligence,logic and artificial intelligence,4,0,null,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:31.759359+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('cognitivescience', 'philosophyofmind')",cognitive science,philosophy of mind,4,0,course_taker,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:33.081323+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('cognitivescience', 'philosophyofmind')",cognitive science,philosophy of mind,4,0,expert,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:34.406960+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('cognitivescience', 'philosophyofmind')",cognitive science,philosophy of mind,4,0,phd,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:35.742489+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('cognitivescience', 'philosophyofmind')",cognitive science,philosophy of mind,4,0,null,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:37.146566+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('philosophyofmathematics', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of mathematics,4,2,course_taker,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:38.471334+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('philosophyofmathematics', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of mathematics,4,2,expert,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:39.813519+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('philosophyofmathematics', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of mathematics,3,1,phd,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:41.148839+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('philosophyofmathematics', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of mathematics,4,2,null,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:42.498841+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('cognitivescience', 'connectionism')",connectionism,cognitive science,3,0,course_taker,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:43.851302+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('cognitivescience', 'connectionism')",connectionism,cognitive science,3,0,expert,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:45.177305+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('cognitivescience', 'connectionism')",connectionism,cognitive science,3,0,phd,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:46.492530+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('cognitivescience', 'connectionism')",connectionism,cognitive science,3,0,null,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:47.811176+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('feministphilosophyofreligion', 'philosophyofreligion')",philosophy of religion,feminist philosophy of religion,4,0,course_taker,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:49.149198+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('feministphilosophyofreligion', 'philosophyofreligion')",philosophy of religion,feminist philosophy of religion,4,0,expert,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:50.531087+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('feministphilosophyofreligion', 'philosophyofreligion')",philosophy of religion,feminist philosophy of religion,4,0,phd,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:51.864101+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('feministphilosophyofreligion', 'philosophyofreligion')",philosophy of religion,feminist philosophy of religion,4,0,null,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:53.185646+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('philosophyofreligion', 'religionandscience')",philosophy of religion,religion and science,3,0,course_taker,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:54.534740+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('philosophyofreligion', 'religionandscience')",philosophy of religion,religion and science,3,0,expert,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:55.865148+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('philosophyofreligion', 'religionandscience')",philosophy of religion,religion and science,3,0,phd,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:57.281096+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('philosophyofreligion', 'religionandscience')",philosophy of religion,religion and science,3,0,null,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:47:59.041259+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('chinesebuddhism', 'chinesephilosophy')",chinese buddhism,chinese philosophy,4,0,novice,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:48:00.398816+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('chinesebuddhism', 'chinesephilosophy')",chinese buddhism,chinese philosophy,4,0,expert,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:48:02.016279+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('chinesebuddhism', 'chinesephilosophy')",chinese buddhism,chinese philosophy,4,0,phd,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:48:03.397738+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('chinesebuddhism', 'chinesephilosophy')",chinese buddhism,chinese philosophy,4,0,null,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:48:04.723383+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('cognitivescience', 'philosophyofpsychology')",cognitive science,philosophy of psychology,3,0,course_taker,v1,v1,"{""model"": ""open-mistral-nemo"", ""temperature"": 0, ""date"": ""2025-10-21T03:48:06.055761+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
