key,ideaA,ideaB,humanRelatedness,humanGenerality
"('connectionism', 'connectionistmodel')",connectionism,connectionist model,4,0
"('connectionism', 'modelsandidealization')",connectionism,models and idealization,3,1
"('connectionism', 'trainingset')",connectionism,training set,4,0
"('connectionism', 'hiddenunit')",connectionism,hidden unit,4,0
"('cognitivescience', 'connectionism')",connectionism,cognitive science,4,1
"('logic', 'modallogic')",logic,modal logic,4,0
"('logic', 'logicandlanguage')",logic,logic and language,3,0
"('classicallogic', 'logic')",logic,classical logic,4,0
"('intuitionisticlogic', 'logic')",logic,intuitionistic logic,-1,0
"('logic', 'philosophyofmathematics')",logic,philosophy of mathematics,4,2
"('combininglogics', 'logic')",logic,combining logics,3,0
"('logic', 'semantics')",logic,semantics,3,0
"('philosophyofreligion', 'religion')",philosophy of religion,religion,4,2
"('god', 'philosophyofreligion')",philosophy of religion,god,4,0
"('faith', 'philosophyofreligion')",philosophy of religion,faith,4,0
"('belief', 'philosophyofreligion')",philosophy of religion,belief,4,0
"('feministphilosophyofreligion', 'philosophyofreligion')",philosophy of religion,feminist philosophy of religion,3,0
"('philosophyofreligion', 'religiousexperience')",philosophy of religion,religious experience,4,0
"('philosophyofreligion', 'religiousdiversity')",philosophy of religion,religious diversity,3,0
"('philosophyofreligion', 'religionandscience')",philosophy of religion,religion and science,4,0
"('existentialism', 'existentialistaesthetics')",existentialism,existentialist aesthetics,3,0
"('existence', 'existentialism')",existentialism,existence,4,1
"('existentialism', 'meaning')",existentialism,meaning,4,1
"('chinesephilosophy', 'daoism')",chinese philosophy,daoism,3,0
"('chinesephilosophy', 'taoism')",chinese philosophy,taoism,3,0
"('culture', 'racism')",racism,culture,0,-1
"('africanandafricanamericanphilosophy', 'racism')",african and african-american philosophy,racism,3,1
"('judaicphilosophy', 'judaism')",judaic philosophy,judaism,4,-1
"('metaphysics', 'substance')",metaphysics,substance,4,1
"('civilrights', 'racism')",racism,civil rights,4,2
"('feminism', 'feministphilosophy')",feminist philosophy,feminism,4,2
"('chinesephilosophy', 'confucianism')",chinese philosophy,confucianism,4,0
"('folkpsychology', 'psychiatry')",folk psychology,psychiatry,4,1
"('18thcenturygermanaesthetics', 'aestheticsandphilosophyofart')",aesthetics and philosophy of art,18th century german aesthetics,4,0
"('modelsandidealization', 'revisiontheoryoftruth')",revision theory of truth,models and idealization,-1,-1
"('revisiontheoryoftruth', 'truth')",revision theory of truth,truth,-1,-1
"('causaltheoriesofmentalcontent', 'theoriesofmentalcontent')",theories of mental content,causal theories of mental content,3,0
"('aestheticsandphilosophyofart', 'philosophyofcomposition')",aesthetics and philosophy of art,philosophy of composition,2,-1
"('aestheticsandphilosophyofart', 'philosophyofcomposition')",aesthetics and philosophy of art,philosophy of composition,-1,-1
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,1
"('algebra', 'philosophyofmathematics')",philosophy of mathematics,algebra,4,1
"('churchturingthesis', 'philosophyofcomputerscience')",philosophy of computer science,church-turing thesis,-1,-1
"('interpretation', 'judaicphilosophy')",judaic philosophy,interpretation,3,0
"('logic', 'philosophyoflanguage')",logic,philosophy of language,4,2
"('body', 'substance')",substance,body,4,1
"('idealism', 'modernism')",modernism,idealism,3,2
"('ethics', 'virtuesandvices')",ethics,virtues and vices,4,1
"('qualities', 'substance')",substance,qualities,4,0
