pair_id,ideaA,ideaB,i_id,j_id,j_i_to_j,j_j_to_i,j_sym,has_sep,jweight
79,sense-data,perception,1541,2078,0.000533419,0.000511297,0.000533419,True,0.000533419
80,philosophy of history,continental philosophy,711,631,6.88695e-05,7.02638e-05,7.02638e-05,True,6.88695e-05
81,mental imagery,cognitive science,1223,892,4.22464e-05,4.21733e-05,4.22464e-05,True,4.22464e-05
82,hume on religion,philosophy of religion,1780,724,0.000218361,0.000209879,0.000218361,True,0.000218361
83,justified true belief,epistemology,1549,646,0.000138933,0.000131918,0.000138933,True,0.000138933
84,cloning,bioethics,2015,621,6.24529e-05,6.24131e-05,6.24529e-05,True,6.24529e-05
85,knowledge,epistemology,2075,646,0.00248063,0.00267359,0.00267359,True,0.00248063
86,philosophy of law,civil disobedience,713,1732,0.000295236,0.000330382,0.000330382,True,0.000295236
87,panpsychism,emergence,695,909,0.000163165,0.000161314,0.000163165,True,0.000163165
88,kant's philosophy of science,metaphysics,1055,681,2.70816e-05,2.66333e-05,2.70816e-05,True,2.70816e-05
89,medieval logic,history of logic,1813,917,3.09412e-05,3.08649e-05,3.09412e-05,True,3.09412e-05
90,idiolects,philosophy of language,1384,712,0.000587884,0.000525308,0.000587884,True,0.000587884
91,divine illumination,philosophy of mind,1383,715,0.000162645,0.000151113,0.000162645,True,0.000162645
92,consciousness and intentionality,consciousness,1227,923,0.00101446,0.000965649,0.00101446,True,0.00101446
93,ethnocentrism,philosophy of religion,192,724,7.52798e-05,6.91288e-05,7.52798e-05,True,7.52798e-05
94,foundationalism,skepticism,223,527,0.000135474,0.000132356,0.000135474,True,0.000135474
95,folk psychology,philosophy of mind,891,715,0.000158641,0.000145813,0.000158641,True,0.000158641
96,qualia,perception,737,2078,9.48472e-05,9.26944e-05,9.48472e-05,True,9.48472e-05
97,motion and time,metaphysics,1821,681,9.19333e-05,8.76927e-05,9.19333e-05,True,9.19333e-05
98,natural philosophy,metaphysics,1632,681,0.00082394,0.000789078,0.00082394,True,0.00082394
99,pantheism,philosophy of religion,417,724,0.000157403,0.00015075,0.000157403,True,0.000157403
100,naturalized epistemology,epistemology,1145,646,0.000665687,0.000634188,0.000665687,True,0.000665687
101,logos,perception,1612,2078,5.98236e-05,5.64305e-05,5.98236e-05,True,5.98236e-05
102,analytic feminism,metaphysics,1121,681,2.08765e-05,2.05425e-05,2.08765e-05,True,2.08765e-05
103,chinese-western comparative philosophy,chinese philosophy,1130,624,0.000121765,0.00012273,0.00012273,True,0.000121765
104,korean philosophy,perception,673,2078,5.5586e-07,5.50816e-07,5.5586e-07,True,5.5586e-07
105,origin of aesthetic,philosophy of mind,857,715,2.83943e-05,2.40409e-05,2.83943e-05,True,2.83943e-05
106,connectionism,training set,893,949,0.000213933,0.000235519,0.000235519,True,0.000213933
107,units and levels of selection,evolution,1300,1125,0.000357914,0.000348778,0.000357914,True,0.000357914
108,consciousness and content,consciousness,924,923,0.000516826,0.00040875,0.000516826,True,0.000516826
109,philosophy of physics,perception,719,2078,0.000659982,0.00065273,0.000659982,True,0.000659982
110,supertasks,dynamical system,1187,938,,,,False,
111,modularity,philosophy of mind,829,715,0.000130383,0.000120928,0.000130383,True,0.000130383
112,logic,philosophy of mathematics,674,714,0.000250515,0.000265003,0.000265003,True,0.000250515
113,defeasible reasoning,epistemology,1054,646,5.13622e-06,5.09104e-06,5.13622e-06,True,5.13622e-06
114,descartes' ontological argument,perception,1281,2078,2.91344e-05,2.85064e-05,2.91344e-05,True,2.91344e-05
115,feminist bioethics,bioethics,1030,621,0.000769043,0.000768507,0.000769043,True,0.000769043
116,justified true belief,perception,1549,2078,3.7281e-05,3.59544e-05,3.7281e-05,True,3.7281e-05
117,polytheism,philosophy of religion,451,724,0.000131578,0.000117725,0.000131578,True,0.000131578
118,philosophy of psychology,philosophy of mind,720,715,0.00208623,0.00197995,0.00208623,True,0.00208623
119,philosophy of science and the sciences,metaphysics,1826,681,0.00181036,0.00204578,0.00204578,True,0.00181036
120,phenomenal consciousness,consciousness,965,923,0.00120192,0.000952634,0.00120192,True,0.00120192
121,logic and computation,artificial intelligence,940,890,,,,False,
122,analysis,philosophy of mathematics,1508,714,0.000284623,0.000298646,0.000298646,True,0.000284623
123,principle of sufficient reason,metaphysics,1640,681,7.55472e-05,7.38879e-05,7.55472e-05,True,7.55472e-05
124,unity of consciousness,perception,877,2078,3.7036e-05,3.63195e-05,3.7036e-05,True,3.7036e-05
125,meaning,metaphysics,1923,681,0.00171135,0.00177337,0.00177337,True,0.00171135
126,philosophies of the particular sciences,philosophy of science and the sciences,1827,1826,0.10972,0.0856562,0.10972,True,0.10972
127,mind,metaphysics,2067,681,0.00223238,0.00233156,0.00233156,True,0.00223238
128,proper names,epistemology,2019,646,0.000119795,0.000117611,0.000119795,True,0.000119795
129,simultaneity,metaphysics,1997,681,0.000166548,0.000159748,0.000166548,True,0.000166548
130,philosophy of mathematics,set theory,714,1287,0.000404212,0.000401033,0.000404212,True,0.000404212
131,medieval theories of the syllogism,history of logic,1243,917,1.82859e-05,1.84258e-05,1.84258e-05,True,1.82859e-05
132,panpsychism,metaphysics of mind,695,897,2.03071e-05,2.06449e-05,2.06449e-05,True,2.03071e-05
133,symbolic processing,philosophy of mind,954,715,1.42672e-05,1.30011e-05,1.42672e-05,True,1.42672e-05
134,modern philosophy,philosophy of mind,899,715,0.00031337,0.000283358,0.00031337,True,0.00031337
135,chinese room argument,cognitive science,1137,892,2.19777e-05,2.19782e-05,2.19782e-05,True,2.19777e-05
136,arabic philosophy and islamic philosophy,metaphysics,930,681,0.00031843,0.000298328,0.00031843,True,0.00031843
137,higher-order theories of consciousness,consciousness,1228,923,0.000176976,0.000171059,0.000176976,True,0.000176976
138,meaning of life,afterlife,1603,1581,3.24148e-05,3.23316e-05,3.24148e-05,True,3.24148e-05
139,syntactic analysis,philosophy of mind,810,715,,,,False,
140,universals,metaphysics,1483,681,0.0025007,0.00254371,0.00254371,True,0.0025007
141,matter,epistemology,1497,646,0.00164795,0.00173704,0.00173704,True,0.00164795
142,philosophy of religion,religious experience,724,1574,0.00149637,0.00174373,0.00174373,True,0.00149637
143,judaic philosophy,interpretation,921,845,,,,False,
144,philosophy of science and the sciences,epistemology,1826,646,0.00113032,0.00127124,0.00127124,True,0.00113032
145,cause and effect,perception,1897,2078,0.000389591,0.000374965,0.000389591,True,0.000389591
146,western philosophy,chinese philosophy,758,624,0.000112929,0.00011332,0.00011332,True,0.000112929
147,natural law,philosophy of law,2044,713,0.00715272,0.00511521,0.00715272,True,0.00715272
148,zen buddhism,chinese philosophy,759,624,,,,False,
149,metaphysics of science,metaphysics,1828,681,0.000997364,0.000842226,0.000997364,True,0.000997364
150,cognitive science,philosophy of science and the sciences,892,1826,0.00179417,0.0013645,0.00179417,True,0.00179417
151,modern philosophy,metaphysics,899,681,0.000436332,0.000408214,0.000436332,True,0.000436332
152,personal identity and ethics,metaphysics,1598,681,2.83133e-06,2.80439e-06,2.83133e-06,True,2.83133e-06
153,unitarianism,perception,590,2078,3.15182e-05,2.95711e-05,3.15182e-05,True,3.15182e-05
154,feminist epistemology and philosophy of science,epistemology,1043,646,0.000142807,0.000139952,0.000142807,True,0.000142807
155,18th century german aesthetics,metaphysics,1856,681,3.89588e-07,3.86762e-07,3.89588e-07,True,3.89588e-07
156,activation value,folk psychology,955,891,2.55083e-05,2.5239e-05,2.55083e-05,True,2.55083e-05
157,hilbert's program,philosophy of mathematics,1356,714,6.60536e-06,6.58286e-06,6.60536e-06,True,6.60536e-06
158,eliminative materialism,philosophy of mind,641,715,3.97667e-05,3.815e-05,3.97667e-05,True,3.97667e-05
159,intuitionistic logic,history of logic,1211,917,,,,False,
160,blindsight,perception,870,2078,0.000110573,0.000101664,0.000110573,True,0.000110573
161,unity of science,scientific methodology,983,1830,9.55419e-06,9.56506e-06,9.56506e-06,True,9.55419e-06
162,neural network,cognitive science,946,892,0.00018006,0.000177285,0.00018006,True,0.00018006
163,time,metaphysics,1488,681,0.00204908,0.002198,0.002198,True,0.00204908
164,functionalism,philosophy of mind,226,715,0.000127895,0.000121847,0.000127895,True,0.000127895
165,foundationalist theories of epistemic justification,foundationalism,1321,223,0.000194986,0.000196266,0.000196266,True,0.000194986
166,logic,intuitionistic logic,674,1211,0.00151902,0.0018522,0.0018522,True,0.00151902
167,connectionism,neural network,893,946,0.000326039,0.000331425,0.000331425,True,0.000326039
168,causal theories of mental content,perception,1699,2078,5.45907e-07,5.40947e-07,5.45907e-07,True,5.45907e-07
169,mind-body problem,metaphysics,819,681,8.59304e-05,8.1423e-05,8.59304e-05,True,8.59304e-05
170,great apes,philosophy of mind,962,715,3.951e-05,3.66194e-05,3.951e-05,True,3.951e-05
171,problem of evil,philosophy of religion,1126,724,0.000183496,0.000177007,0.000183496,True,0.000183496
172,gettier problem,epistemology,1550,646,0.000105055,9.72095e-05,0.000105055,True,0.000105055
173,internalism,epistemology,666,646,0.000182134,0.000177822,0.000182134,True,0.000182134
174,Eternity in Christian Thought,philosophy of religion,1580,724,0.000366041,0.000352745,0.000366041,True,0.000366041
175,miracles,philosophy of religion,1219,724,0.000440256,0.000420073,0.000440256,True,0.000440256
176,existence,metaphysics,1478,681,0.00248784,0.00260021,0.00260021,True,0.00248784
177,sovereignty,philosophy of religion,1213,724,0.000305354,0.000292754,0.000305354,True,0.000305354
178,philosophy of psychology,philosophy of science and the sciences,720,1826,0.0173756,0.0116845,0.0173756,True,0.0173756
179,naturalism in legal philosophy,epistemology,1167,646,1.48643e-05,1.4689e-05,1.48643e-05,True,1.48643e-05
180,philosophy of perception,perception,718,2078,0.0498605,0.0498605,0.0498605,True,0.0498605
181,platonic realism,epistemology,727,646,3.3639e-05,3.1331e-05,3.3639e-05,True,3.3639e-05
182,computational theory of mind,philosophy of mind,1235,715,3.39258e-05,3.27819e-05,3.39258e-05,True,3.39258e-05
183,racism,civil rights,473,1134,0.000163581,0.000163308,0.000163581,True,0.000163581
184,feminist social epistemology,epistemology,1775,646,0.00028855,0.000278533,0.00028855,True,0.00028855
185,leibniz on causation,perception,1181,2078,0.000174436,0.000167764,0.000174436,True,0.000174436
186,scientific progress,philosophy of science and the sciences,1203,1826,0.000779604,0.00062899,0.000779604,True,0.000779604
187,sense data,epistemology,1288,646,0.000206651,0.000202504,0.000206651,True,0.000206651
188,testimony,epistemology,2077,646,0.000732295,0.000715908,0.000732295,True,0.000732295
189,scientific theory,epistemology,981,646,0.000525789,0.000512217,0.000525789,True,0.000525789
190,medieval theories of causality,metaphysics,1083,681,,,,False,
191,connectionist model,artificial intelligence,947,890,7.09685e-05,6.92386e-05,7.09685e-05,True,7.09685e-05
192,logic,classical logic,674,1195,0.00188189,0.00215528,0.00215528,True,0.00188189
193,modern philosophy,epistemology,899,646,0.000221472,0.000212692,0.000221472,True,0.000221472
194,science and religion,philosophy of religion,979,724,0.00115674,0.000887763,0.00115674,True,0.00115674
195,spinoza's psychological theory,philosophy of mind,1172,715,3.35535e-05,3.20795e-05,3.35535e-05,True,3.35535e-05
196,intellectualism,philosophy of religion,278,724,4.73779e-05,4.53633e-05,4.73779e-05,True,4.73779e-05
197,existence of god,existence,1905,1478,0.00274219,0.0020381,0.00274219,True,0.00274219
198,philosophy of science and the sciences,philosophy of mind,1826,715,0.00107912,0.00115314,0.00115314,True,0.00107912
199,introspection,philosophy of mind,2076,715,0.000403338,0.000380497,0.000403338,True,0.000403338
200,zombies,physicalism,1374,726,0.00023347,0.000230779,0.00023347,True,0.00023347
201,theory of truth,metaphysics,1704,681,0.000171385,0.000166999,0.000171385,True,0.000171385
202,cartesian dualism,philosophy of mind,98,715,8.61542e-05,7.55515e-05,8.61542e-05,True,8.61542e-05
203,theory of forms,metaphysics,1822,681,0.000142914,0.000135083,0.000142914,True,0.000142914
204,history of feminism,epistemology,1847,646,,,,False,
205,metaphysics of causation,causation,1082,969,0.000232381,0.000227393,0.000232381,True,0.000232381
206,folk psychology,perception,891,2078,8.66082e-05,8.32324e-05,8.66082e-05,True,8.66082e-05
207,computer ethics,ethics,629,647,9.64158e-05,7.62066e-05,9.64158e-05,True,9.64158e-05
208,essential versus accidental properties,property and ownership,1773,1706,,,,False,
209,public reason,philosophy of religion,1399,724,0.000140368,0.000135561,0.000140368,True,0.000140368
210,agnosticism,philosophy of religion,13,724,0.000152575,0.000142971,0.000152575,True,0.000152575
211,chinese philosophy,confucianism,624,127,0.000248462,0.000245912,0.000248462,True,0.000248462
212,symmetry and symmetry breaking,symmetry and invariance,1119,968,5.50118e-05,6.51706e-05,6.51706e-05,True,5.50118e-05
213,social and political philosophy,epistemology,1787,646,0.000221785,0.000217176,0.000221785,True,0.000221785
214,ideas,metaphysics,1641,681,0.00172729,0.00186585,0.00186585,True,0.00172729
215,matter,perception,1497,2078,0.00171859,0.00178246,0.00178246,True,0.00171859
216,20th century continental philosophy,philosophy of mind,1845,715,,,,False,
217,philosophy of mathematics,epistemology,714,646,0.000125138,0.00012335,0.000125138,True,0.000125138
218,church-turing thesis,turing machine,1135,1002,0.000655866,0.000654195,0.000655866,True,0.000655866
219,cognitive value of art,perception,2007,2078,,,,False,
220,kant's critique of metaphysics,metaphysics,1059,681,7.85975e-05,7.67081e-05,7.85975e-05,True,7.85975e-05
221,korean philosophy,philosophy of mind,673,715,9.78974e-05,9.2927e-05,9.78974e-05,True,9.78974e-05
222,church-turing thesis,artificial intelligence,1135,890,6.18736e-06,6.18149e-06,6.18736e-06,True,6.18736e-06
223,nonconceptual mental content,perception,1274,2078,0.000378852,0.000360113,0.000378852,True,0.000378852
224,eliminative materialism,cognitive science,641,892,3.00199e-05,2.9955e-05,3.00199e-05,True,3.00199e-05
225,epistemology of science,metaphysics,1829,681,0.000103756,9.8506e-05,0.000103756,True,0.000103756
226,medieval problem of universals,philosophy of mind,989,715,0.000199544,0.00018745,0.000199544,True,0.000199544
227,bell's theorem,quantum mechanics,1017,1158,0.000150946,0.000149609,0.000150946,True,0.000150946
228,akan philosophy of the person,african and african-american philosophy,1655,1652,,,,False,
229,theory of forms,epistemology,1822,646,9.60042e-05,9.21935e-05,9.60042e-05,True,9.60042e-05
230,social dimensions of scientific knowledge,philosophy of science and the sciences,1204,1826,0.000379475,0.000322845,0.000379475,True,0.000379475
231,chinese room argument,chinese philosophy,1137,624,,,,False,
232,inherence,metaphysics,1506,681,0.000177456,0.000167728,0.000177456,True,0.000177456
233,cosmological arguments for the existence of god,philosophy of religion,1584,724,,,,False,
234,philosophies of the particular sciences,logic,1827,674,0.00143084,0.00146616,0.00146616,True,0.00143084
235,analytic feminism,epistemology,1121,646,7.04706e-05,6.90732e-05,7.04706e-05,True,7.04706e-05
236,cognitive science,perception,892,2078,0.000365876,0.000352304,0.000365876,True,0.000365876
237,confirmation and induction,metaphysics,1804,681,0.000536415,0.000527376,0.000536415,True,0.000536415
238,malebranche's theory of ideas and vision in god,philosophy of mind,1253,715,0.00021162,0.000199768,0.00021162,True,0.00021162
239,quantum mechanics,philosophy of physics,1158,719,0.000609558,0.000595034,0.000609558,True,0.000609558
240,relativism,truth,485,1709,0.000628859,0.000583079,0.000628859,True,0.000628859
241,theism,philosophy of religion,563,724,0.000591288,0.000561362,0.000591288,True,0.000591288
242,frege's theorem and foundations for arithmetic,philosophy of law,1340,713,0.000202554,0.000186446,0.000202554,True,0.000202554
243,future contingents,history of logic,1479,917,2.67425e-05,2.7078e-05,2.7078e-05,True,2.67425e-05
244,non-conceptual content,perception,873,2078,3.03307e-05,2.77398e-05,3.03307e-05,True,3.03307e-05
245,foundationalist theories of epistemic justification,justification,1321,2068,0.000715806,0.000673892,0.000715806,True,0.000715806
246,self-consciousness,philosophy of mind,1299,715,0.00028621,0.000270556,0.00028621,True,0.00028621
247,philosophy of computer science,philosophy of mind,903,715,5.0794e-05,4.89374e-05,5.0794e-05,True,5.0794e-05
248,artificial intelligence,philosophy of mind,890,715,7.54898e-05,7.26024e-05,7.54898e-05,True,7.54898e-05
249,animal consciousness,consciousness,1229,923,0.00124682,0.00116656,0.00124682,True,0.00124682
250,17th and 18th century theories of emotions,perception,1770,2078,1.12551e-05,1.10448e-05,1.12551e-05,True,1.12551e-05
251,logic,combining logics,674,1455,0.00113609,0.00136475,0.00136475,True,0.00113609
252,consciousness and science,perception,957,2078,2.11108e-05,1.95387e-05,2.11108e-05,True,2.11108e-05
253,other minds,epistemology,1750,646,8.52264e-05,8.39006e-05,8.52264e-05,True,8.52264e-05
254,mind-body problem,philosophy of mind,819,715,9.89508e-05,8.92161e-05,9.89508e-05,True,9.89508e-05
255,possible worlds,existence,1501,1478,0.000769281,0.000736247,0.000769281,True,0.000769281
256,incompatibilism,afterlife,1531,1581,2.17238e-05,2.15551e-05,2.17238e-05,True,2.17238e-05
257,mathematical logic,metaphysics,914,681,0.000154006,0.000148417,0.000154006,True,0.000154006
258,animal consciousness,philosophy of mind,1229,715,5.9174e-05,5.68252e-05,5.9174e-05,True,5.9174e-05
259,teleological arguments for god's existence,philosophy of mind,1482,715,3.9928e-06,3.87514e-06,3.9928e-06,True,3.9928e-06
260,christian theology,philosophy of religion,763,724,0.000155405,0.000142115,0.000155405,True,0.000155405
261,historicist theories of rationality,philosophy of science and the sciences,1115,1826,0.000466022,0.000391204,0.000466022,True,0.000466022
262,explanation,philosophy of science and the sciences,975,1826,0.00250967,0.00228687,0.00250967,True,0.00250967
263,modern philosophy,perception,899,2078,0.000276994,0.000261004,0.000276994,True,0.000276994
264,culture,philosophy of religion,1392,724,0.0014715,0.0014321,0.0014715,True,0.0014715
265,mental representation,mental content,1222,925,0.000183902,0.000185734,0.000185734,True,0.000183902
266,connectionist model,cognitive science,947,892,0.000131972,0.000127523,0.000131972,True,0.000131972
267,philosophy of mind,epistemology,715,646,0.00147393,0.00154167,0.00154167,True,0.00147393
268,conservation biology,philosophy of science and the sciences,1277,1826,0.000155638,0.00013776,0.000155638,True,0.000155638
269,coherentist theories of justification,epistemology,1322,646,,,,False,
270,eliminative materialism,philosophy of science and the sciences,641,1826,0.000134279,0.000117894,0.000134279,True,0.000134279
271,input unit,artificial intelligence,951,890,2.10358e-05,2.04376e-05,2.10358e-05,True,2.10358e-05
272,lebensphilosophie,philosophy of religion,1954,724,,,,False,
273,plato on knowledge in the theaetetus,perception,1366,2078,0.000155902,0.000151128,0.000155902,True,0.000155902
274,nativism,cognitive science,374,892,4.26078e-05,4.23225e-05,4.26078e-05,True,4.26078e-05
275,concepts of god,philosophy of religion,1583,724,0.000242367,0.00022306,0.000242367,True,0.000242367
276,philosophy of computer science,church-turing thesis,903,1135,7.48347e-05,7.49473e-05,7.49473e-05,True,7.48347e-05
277,hylomorphism,metaphysics,2042,681,0.00017263,0.000163624,0.00017263,True,0.00017263
278,symbolic processing,cognitive science,954,892,2.21177e-05,2.15201e-05,2.21177e-05,True,2.21177e-05
279,pacifism,philosophy of religion,409,724,4.84023e-05,4.72134e-05,4.84023e-05,True,4.84023e-05
280,laws of nature,epistemology,1164,646,0.000297298,0.000292727,0.000297298,True,0.000297298
281,probability and statistics,philosophy of mind,939,715,0.00023309,0.000228948,0.00023309,True,0.00023309
282,philosophy of perception,metaphysics,718,681,0.00129492,0.00130415,0.00130415,True,0.00129492
283,modularity,cognitive science,829,892,0.000114694,0.000113491,0.000114694,True,0.000114694
284,matter,metaphysics,1497,681,0.0025821,0.00272115,0.00272115,True,0.0025821
285,artificial intelligence,cognitive science,890,892,0.000213169,0.000213628,0.000213628,True,0.000213169
286,cartesian dualism,dualism,98,168,0.000415568,0.000347831,0.000415568,True,0.000415568
287,definition of morality,philosophy of religion,1096,724,3.51075e-05,3.40355e-05,3.51075e-05,True,3.51075e-05
288,environmental aesthetics,aesthetics,1862,614,0.00093212,0.000855199,0.00093212,True,0.00093212
289,leibniz's philosophy of mind,philosophy of mind,1178,715,6.38034e-05,6.0497e-05,6.38034e-05,True,6.38034e-05
290,descartes' modal metaphysics,metaphysics,1282,681,1.32929e-05,1.31231e-05,1.32929e-05,True,1.32929e-05
291,logic,philosophy of language,674,712,0.00254265,0.00255658,0.00255658,True,0.00254265
292,atomism,philosophy of chemistry,52,861,0.000288453,0.000286841,0.000288453,True,0.000288453
