key,idea_a,idea_b,id_a,id_b,has_ids,edge_i_to_j,edge_j_to_i,edge_any
"('introspection', 'philosophyofmind')",introspection,philosophy of mind,2076,715,True,True,True,True
"('physicalism', 'zombies')",zombies,physicalism,1374,726,True,True,True,True
"('metaphysics', 'theoryoftruth')",theory of truth,metaphysics,1704,681,True,True,True,True
"('cartesiandualism', 'philosophyofmind')",cartesian dualism,philosophy of mind,98,715,True,True,True,True
"('metaphysics', 'theoryofforms')",theory of forms,metaphysics,1822,681,True,True,True,True
"('epistemology', 'historyoffeminism')",history of feminism,epistemology,1847,646,True,False,False,False
"('causation', 'metaphysicsofcausation')",metaphysics of causation,causation,1082,969,True,True,True,True
"('folkpsychology', 'perception')",folk psychology,perception,891,2078,True,True,True,True
"('computerethics', 'ethics')",computer ethics,ethics,629,647,True,True,True,True
"('essentialversusaccidentalproperties', 'propertyandownership')",essential versus accidental properties,property and ownership,1773,1706,True,False,False,False
"('philosophyofreligion', 'publicreason')",public reason,philosophy of religion,1399,724,True,True,True,True
"('agnosticism', 'philosophyofreligion')",agnosticism,philosophy of religion,13,724,True,True,True,True
"('chinesephilosophy', 'confucianism')",chinese philosophy,confucianism,624,127,True,True,True,True
"('symmetryandinvariance', 'symmetryandsymmetrybreaking')",symmetry and symmetry breaking,symmetry and invariance,1119,968,True,True,True,True
"('epistemology', 'socialandpoliticalphilosophy')",social and political philosophy,epistemology,1787,646,True,True,True,True
"('ideas', 'metaphysics')",ideas,metaphysics,1641,681,True,True,True,True
"('matter', 'perception')",matter,perception,1497,2078,True,True,True,True
"('20thcenturycontinentalphilosophy', 'philosophyofmind')",20th century continental philosophy,philosophy of mind,1845,715,True,False,False,False
"('epistemology', 'philosophyofmathematics')",philosophy of mathematics,epistemology,714,646,True,True,True,True
"('churchturingthesis', 'turingmachine')",church-turing thesis,turing machine,1135,1002,True,True,True,True
"('cognitivevalueofart', 'perception')",cognitive value of art,perception,2007,2078,True,False,False,False
"('kantscritiqueofmetaphysics', 'metaphysics')",kant's critique of metaphysics,metaphysics,1059,681,True,True,True,True
"('koreanphilosophy', 'philosophyofmind')",korean philosophy,philosophy of mind,673,715,True,True,True,True
"('artificialintelligence', 'churchturingthesis')",church-turing thesis,artificial intelligence,1135,890,True,True,True,True
"('nonconceptualmentalcontent', 'perception')",nonconceptual mental content,perception,1274,2078,True,True,True,True
"('cognitivescience', 'eliminativematerialism')",eliminative materialism,cognitive science,641,892,True,True,True,True
"('epistemologyofscience', 'metaphysics')",epistemology of science,metaphysics,1829,681,True,True,True,True
"('medievalproblemofuniversals', 'philosophyofmind')",medieval problem of universals,philosophy of mind,989,715,True,True,True,True
"('bellstheorem', 'quantummechanics')",bell's theorem,quantum mechanics,1017,1158,True,True,True,True
"('africanandafricanamericanphilosophy', 'akanphilosophyoftheperson')",akan philosophy of the person,african and african-american philosophy,1655,1652,True,False,False,False
"('epistemology', 'theoryofforms')",theory of forms,epistemology,1822,646,True,True,True,True
"('philosophyofscienceandthesciences', 'socialdimensionsofscientificknowledge')",social dimensions of scientific knowledge,philosophy of science and the sciences,1204,1826,True,True,True,True
"('chinesephilosophy', 'chineseroomargument')",chinese room argument,chinese philosophy,1137,624,True,False,False,False
"('inherence', 'metaphysics')",inherence,metaphysics,1506,681,True,True,True,True
"('cosmologicalargumentsfortheexistenceofgod', 'philosophyofreligion')",cosmological arguments for the existence of god,philosophy of religion,1584,724,True,False,False,False
"('logic', 'philosophiesoftheparticularsciences')",philosophies of the particular sciences,logic,1827,674,True,True,True,True
"('analyticfeminism', 'epistemology')",analytic feminism,epistemology,1121,646,True,True,True,True
"('cognitivescience', 'perception')",cognitive science,perception,892,2078,True,True,True,True
"('confirmationandinduction', 'metaphysics')",confirmation and induction,metaphysics,1804,681,True,True,True,True
"('malebranchestheoryofideasandvisioningod', 'philosophyofmind')",malebranche's theory of ideas and vision in god,philosophy of mind,1253,715,True,True,True,True
"('philosophyofphysics', 'quantummechanics')",quantum mechanics,philosophy of physics,1158,719,True,True,True,True
"('relativism', 'truth')",relativism,truth,485,1709,True,True,True,True
"('philosophyofreligion', 'theism')",theism,philosophy of religion,563,724,True,True,True,True
"('fregestheoremandfoundationsforarithmetic', 'philosophyoflaw')",frege's theorem and foundations for arithmetic,philosophy of law,1340,713,True,True,True,True
"('futurecontingents', 'historyoflogic')",future contingents,history of logic,1479,917,True,True,True,True
"('nonconceptualcontent', 'perception')",non-conceptual content,perception,873,2078,True,True,True,True
"('foundationalisttheoriesofepistemicjustification', 'justification')",foundationalist theories of epistemic justification,justification,1321,2068,True,True,True,True
"('philosophyofmind', 'selfconsciousness')",self-consciousness,philosophy of mind,1299,715,True,True,True,True
"('philosophyofcomputerscience', 'philosophyofmind')",philosophy of computer science,philosophy of mind,903,715,True,True,True,True
"('artificialintelligence', 'philosophyofmind')",artificial intelligence,philosophy of mind,890,715,True,True,True,True
"('animalconsciousness', 'consciousness')",animal consciousness,consciousness,1229,923,True,True,True,True
"('17thand18thcenturytheoriesofemotions', 'perception')",17th and 18th century theories of emotions,perception,1770,2078,True,True,True,True
"('combininglogics', 'logic')",logic,combining logics,674,1455,True,True,True,True
"('consciousnessandscience', 'perception')",consciousness and science,perception,957,2078,True,True,True,True
"('epistemology', 'otherminds')",other minds,epistemology,1750,646,True,True,True,True
"('mindbodyproblem', 'philosophyofmind')",mind-body problem,philosophy of mind,819,715,True,True,True,True
"('existence', 'possibleworlds')",possible worlds,existence,1501,1478,True,True,True,True
"('afterlife', 'incompatibilism')",incompatibilism,afterlife,1531,1581,True,True,True,True
"('mathematicallogic', 'metaphysics')",mathematical logic,metaphysics,914,681,True,True,True,True
"('animalconsciousness', 'philosophyofmind')",animal consciousness,philosophy of mind,1229,715,True,True,True,True
"('philosophyofmind', 'teleologicalargumentsforgodsexistence')",teleological arguments for god's existence,philosophy of mind,1482,715,True,True,True,True
"('christiantheology', 'philosophyofreligion')",christian theology,philosophy of religion,763,724,True,True,True,True
"('historicisttheoriesofrationality', 'philosophyofscienceandthesciences')",historicist theories of rationality,philosophy of science and the sciences,1115,1826,True,True,True,True
"('explanation', 'philosophyofscienceandthesciences')",explanation,philosophy of science and the sciences,975,1826,True,True,True,True
"('modernphilosophy', 'perception')",modern philosophy,perception,899,2078,True,True,True,True
"('culture', 'philosophyofreligion')",culture,philosophy of religion,1392,724,True,True,True,True
"('mentalcontent', 'mentalrepresentation')",mental representation,mental content,1222,925,True,True,True,True
"('cognitivescience', 'connectionistmodel')",connectionist model,cognitive science,947,892,True,True,True,True
"('epistemology', 'philosophyofmind')",philosophy of mind,epistemology,715,646,True,True,True,True
"('conservationbiology', 'philosophyofscienceandthesciences')",conservation biology,philosophy of science and the sciences,1277,1826,True,True,True,True
"('coherentisttheoriesofjustification', 'epistemology')",coherentist theories of justification,epistemology,1322,646,True,False,False,False
"('eliminativematerialism', 'philosophyofscienceandthesciences')",eliminative materialism,philosophy of science and the sciences,641,1826,True,True,True,True
"('artificialintelligence', 'inputunit')",input unit,artificial intelligence,951,890,True,True,True,True
"('lebensphilosophie', 'philosophyofreligion')",lebensphilosophie,philosophy of religion,1954,724,True,False,False,False
"('perception', 'platoonknowledgeinthetheaetetus')",plato on knowledge in the theaetetus,perception,1366,2078,True,True,True,True
"('cognitivescience', 'nativism')",nativism,cognitive science,374,892,True,True,True,True
"('conceptsofgod', 'philosophyofreligion')",concepts of god,philosophy of religion,1583,724,True,True,True,True
"('churchturingthesis', 'philosophyofcomputerscience')",philosophy of computer science,church-turing thesis,903,1135,True,True,True,True
"('hylomorphism', 'metaphysics')",hylomorphism,metaphysics,2042,681,True,True,True,True
"('cognitivescience', 'symbolicprocessing')",symbolic processing,cognitive science,954,892,True,True,True,True
"('pacifism', 'philosophyofreligion')",pacifism,philosophy of religion,409,724,True,True,True,True
"('epistemology', 'lawsofnature')",laws of nature,epistemology,1164,646,True,True,True,True
"('philosophyofmind', 'probabilityandstatistics')",probability and statistics,philosophy of mind,939,715,True,True,True,True
"('metaphysics', 'philosophyofperception')",philosophy of perception,metaphysics,718,681,True,True,True,True
"('cognitivescience', 'modularity')",modularity,cognitive science,829,892,True,True,True,True
"('matter', 'metaphysics')",matter,metaphysics,1497,681,True,True,True,True
"('artificialintelligence', 'cognitivescience')",artificial intelligence,cognitive science,890,892,True,True,True,True
"('cartesiandualism', 'dualism')",cartesian dualism,dualism,98,168,True,True,True,True
"('definitionofmorality', 'philosophyofreligion')",definition of morality,philosophy of religion,1096,724,True,True,True,True
"('aesthetics', 'environmentalaesthetics')",environmental aesthetics,aesthetics,1862,614,True,True,True,True
"('leibnizsphilosophyofmind', 'philosophyofmind')",leibniz's philosophy of mind,philosophy of mind,1178,715,True,True,True,True
"('descartesmodalmetaphysics', 'metaphysics')",descartes' modal metaphysics,metaphysics,1282,681,True,True,True,True
"('logic', 'philosophyoflanguage')",logic,philosophy of language,674,712,True,True,True,True
"('atomism', 'philosophyofchemistry')",atomism,philosophy of chemistry,52,861,True,True,True,True
"('philosophyofbiology', 'philosophyofscience')",philosophy of biology,philosophy of science,704,722,True,True,True,True
"('molecularbiology', 'philosophyofscienceandthesciences')",molecular biology,philosophy of science and the sciences,1215,1826,True,True,True,True
"('epistemology', 'induction')",induction,epistemology,662,646,True,True,True,True
"('causeandeffect', 'metaphysics')",cause and effect,metaphysics,1897,681,True,True,True,True
"('metaphysics', 'metaphysicsofmind')",metaphysics,metaphysics of mind,681,897,True,True,True,True
"('contextualism', 'epistemology')",contextualism,epistemology,130,646,True,True,True,True
